construct,x_value,y_value,quadrant
abstract,0.0082644628099173,0.0011547344110854,Q3
category,4.809917355371901,0.0993071593533487,Q1
collective,1.0909090909090908,0.0404157043879907,Q2
datatype,0.7272727272727273,0.0300230946882217,Q3
enumeration,0.5206611570247934,0.0092378752886836,Q3
event,3.9173553719008254,0.0612009237875288,Q1
historicalRole,0.1900826446280991,0.0046189376443418,Q3
historicalRoleMixin,0.0743801652892562,0.0034642032332563,Q3
kind,13.107438016528926,0.1166281755196304,Q1
mixin,0.6942148760330579,0.0254041570438799,Q3
mode,4.487603305785124,0.0669745958429561,Q1
phase,2.743801652892562,0.0473441108545034,Q1
phaseMixin,0.1652892561983471,0.0092378752886836,Q3
quality,2.074380165289256,0.0508083140877598,Q1
quantity,0.3636363636363636,0.0138568129330254,Q3
relator,10.305785123966942,0.1050808314087759,Q1
role,15.24793388429752,0.0969976905311778,Q1
roleMixin,4.760330578512397,0.0623556581986143,Q1
situation,0.6528925619834711,0.0242494226327944,Q3
subkind,16.71900826446281,0.1016166281755196,Q1
type,1.7603305785123966,0.0300230946882217,Q4
