construct,x_value,y_value,quadrant
abstract,9.78952520802741e-05,0.0011547344110854,Q3
category,0.0569750367107195,0.0993071593533487,Q1
collective,0.0129221732745961,0.0404157043879907,Q2
datatype,0.0086147821830641,0.0300230946882217,Q3
enumeration,0.0061674008810572,0.0092378752886836,Q3
event,0.0464023494860499,0.0612009237875288,Q1
historicalRole,0.0022515907978463,0.0046189376443418,Q3
historicalRoleMixin,0.0008810572687224,0.0034642032332563,Q3
kind,0.1552618697993147,0.1166281755196304,Q1
mixin,0.008223201174743,0.0254041570438799,Q3
mode,0.0531571218795888,0.0669745958429561,Q1
phase,0.032501223690651,0.0473441108545034,Q1
phaseMixin,0.0019579050416054,0.0092378752886836,Q3
quality,0.0245717082721488,0.0508083140877598,Q1
quantity,0.004307391091532,0.0138568129330254,Q3
relator,0.1220753793441018,0.1050808314087759,Q1
role,0.1806167400881057,0.0969976905311778,Q1
roleMixin,0.0563876651982378,0.0623556581986143,Q1
situation,0.0077337249143416,0.0242494226327944,Q3
subkind,0.1980420949583945,0.1016166281755196,Q1
type,0.0208516886930983,0.0300230946882217,Q4
