construct,x_value,y_value,quadrant
abstract,0.0082644628099173,9.78952520802741e-05,Q3
category,4.809917355371901,0.0569750367107195,Q1
collective,1.0909090909090908,0.0129221732745961,Q3
datatype,0.7272727272727273,0.0086147821830641,Q3
enumeration,0.5206611570247934,0.0061674008810572,Q3
event,3.9173553719008254,0.0464023494860499,Q1
historicalRole,0.1900826446280991,0.0022515907978463,Q3
historicalRoleMixin,0.0743801652892562,0.0008810572687224,Q3
kind,13.107438016528926,0.1552618697993147,Q1
mixin,0.6942148760330579,0.008223201174743,Q3
mode,4.487603305785124,0.0531571218795888,Q1
phase,2.743801652892562,0.032501223690651,Q1
phaseMixin,0.1652892561983471,0.0019579050416054,Q3
quality,2.074380165289256,0.0245717082721488,Q1
quantity,0.3636363636363636,0.004307391091532,Q3
relator,10.305785123966942,0.1220753793441018,Q1
role,15.24793388429752,0.1806167400881057,Q1
roleMixin,4.760330578512397,0.0563876651982378,Q1
situation,0.6528925619834711,0.0077337249143416,Q3
subkind,16.71900826446281,0.1980420949583945,Q1
type,1.7603305785123966,0.0208516886930983,Q1
