Stereotype,DistanceFromOrigin,Rank
kind,0.8428191722682549,1
relator,0.7593717294694178,2
subkind,0.7343374966297667,3
category,0.7176480080699992,4
role,0.7009585195102318,5
mode,0.4839951682332553,6
roleMixin,0.4506161911137204,7
event,0.44227144683383673,8
quality,0.3671687483148833,9
phase,0.3421345154752321,10
collective,0.29206604979592987,11
datatype,0.21696335127697647,12
type,0.21696335127697647,12
mixin,0.18358437415744164,13
situation,0.1752396298775579,14
quantity,0.10013693135860448,15
enumeration,0.06675795423906965,16
phaseMixin,0.06675795423906965,16
historicalRole,0.033378977119534824,17
historicalRoleMixin,0.025034232839651064,18
abstract,0.00834474427988365,19
