Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
bringsAbout,1.0,0.26198236318918594,0.04168702663204816,0.1391662733039731,-0.01194423119307773,0.22883834436313077,0.4139756231194137,0.30377351280322606,0.3650979311847787,0.10642559409175946,-0.11369988449473177,-0.08848415982041057,0.5536984274110163,0.05219770219999095,-0.1382631792011842
characterization,0.26198236318918594,1.0,0.2536275673076006,0.09008312234428524,0.04824209230699486,0.3628133632206726,0.20295835998049805,0.27783733052581444,0.28059597704989786,0.13076078141599007,0.36244121780453775,0.11843130509275841,0.28838577886586525,-0.0036904389253903246,0.09520716875725445
componentOf,0.04168702663204816,0.2536275673076006,1.0,0.042257712736425826,-0.05659684799706785,-0.008132500607904443,0.10329663113348536,0.20070620221812357,0.21569132011200315,0.18692242309863583,0.09882117688026185,0.25617376914899,-0.01901814435781827,-0.08210708272559601,0.0180647910317525
creation,0.1391662733039731,0.09008312234428524,0.042257712736425826,1.0,0.05979133361118127,0.23643868166813245,0.3396825396825397,0.39939613177779754,0.38662954058932786,-0.029932726961553354,0.08017837257372731,0.1649572197684645,0.6532175148395224,0.16191735072072871,0.014656833601216487
derivation,-0.01194423119307773,0.04824209230699486,-0.05659684799706785,0.05979133361118127,1.0,-0.09527669745351734,-0.12675762725570427,-0.14057181293522278,-0.1635230358742229,0.48525211587114264,0.41611675423269506,0.17398353448033602,-0.04649905549752771,0.08016078588868075,0.28341211634446534
externalDependence,0.22883834436313077,0.3628133632206726,-0.008132500607904443,0.23643868166813245,-0.09527669745351734,1.0,0.3794016054674684,0.5635690997512194,0.4346928823909822,-0.2438635368935238,0.08486684247915055,0.13333333333333333,0.3697113846455204,-0.00801283080215004,0.08885233166386385
historicalDependence,0.4139756231194137,0.20295835998049805,0.10329663113348536,0.3396825396825397,-0.12675762725570427,0.3794016054674684,1.0,0.5597714124916622,0.5629868748932317,-0.029932726961553354,0.08017837257372731,0.09347575786879656,0.5194879448723762,0.0817297103637964,-0.04885611200405496
instantiation,0.30377351280322606,0.27783733052581444,0.20070620221812357,0.39939613177779754,-0.14057181293522278,0.5635690997512194,0.5597714124916622,1.0,0.7940573395971441,-0.16316980426520877,-0.012982269672237465,0.00801283080215004,0.4896940368106295,0.09063670411985018,0.12103297899984011
manifestation,0.3650979311847787,0.28059597704989786,0.21569132011200315,0.38662954058932786,-0.1635230358742229,0.4346928823909822,0.5629868748932317,0.7940573395971441,1.0,-0.10659228331068173,-0.02379334336334003,0.0528680532637681,0.5165147041600332,0.06260203092259642,0.18789799212060576
material,0.10642559409175946,0.13076078141599007,0.18692242309863583,-0.029932726961553354,0.48525211587114264,-0.2438635368935238,-0.029932726961553354,-0.16316980426520877,-0.10659228331068173,1.0,0.31421663619834295,0.15553501171949155,-0.06825441842309837,-0.11685758259257527,0.1757313320992903
mediation,-0.11369988449473177,0.36244121780453775,0.09882117688026185,0.08017837257372731,0.41611675423269506,0.08486684247915055,0.08017837257372731,-0.012982269672237465,-0.02379334336334003,0.31421663619834295,1.0,0.28546119742987003,0.057735026918962574,-0.09953073415382056,0.1679501022390438
memberOf,-0.08848415982041057,0.11843130509275841,0.25617376914899,0.1649572197684645,0.17398353448033602,0.13333333333333333,0.09347575786879656,0.00801283080215004,0.0528680532637681,0.15553501171949155,0.28546119742987003,1.0,0.13808497498808592,-0.1469018980394174,0.19885998039055242
participation,0.5536984274110163,0.28838577886586525,-0.01901814435781827,0.6532175148395224,-0.04649905549752771,0.3697113846455204,0.5194879448723762,0.4896940368106295,0.5165147041600332,-0.06825441842309837,0.057735026918962574,0.13808497498808592,1.0,0.09494068060614246,0.07915594835766294
none,0.05219770219999095,-0.0036904389253903246,-0.08210708272559601,0.16191735072072871,0.08016078588868075,-0.00801283080215004,0.0817297103637964,0.09063670411985018,0.06260203092259642,-0.11685758259257527,-0.09953073415382056,-0.1469018980394174,0.09494068060614246,1.0,0.002373195666663532
other,-0.1382631792011842,0.09520716875725445,0.0180647910317525,0.014656833601216487,0.28341211634446534,0.08885233166386385,-0.04885611200405496,0.12103297899984011,0.18789799212060576,0.1757313320992903,0.1679501022390438,0.19885998039055242,0.07915594835766294,0.002373195666663532,1.0
