Stereotype,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.199803762637581,-0.04222728719537783,0.4330111013843517,0.33543070484044935,0.09744206495265004,0.2810160585474451,0.05937328133920721,0.32093339522397385,-0.07360284468008674,0.06391945159716214
componentOf,0.199803762637581,1.0,-0.03734280348354329,0.014525016425042543,0.1823810344120016,0.22985323648332345,0.18513851277724028,0.26589363416969347,-0.02825790074235291,-0.1668002073467601,-0.04264039768602286
derivation,-0.04222728719537783,-0.03734280348354329,1.0,-0.09882590492543158,-0.15617830561671886,0.40961114254914605,0.32915618727660734,0.13758646434694743,-0.07818954598152604,0.020679610882837554,0.28626393709340964
externalDependence,0.4330111013843517,0.014525016425042543,-0.09882590492543158,1.0,0.5299925151388298,-0.24996768356099108,0.12389103813666848,0.14046408328383944,0.3695351337742693,-0.03328411684411751,0.08149776972431548
instantiation,0.33543070484044935,0.1823810344120016,-0.15617830561671886,0.5299925151388298,1.0,-0.13801232899834912,0.08735978553730298,0.014065079684431702,0.5266074648503751,-0.07925350949113442,0.09750612801727553
material,0.09744206495265004,0.22985323648332345,0.40961114254914605,-0.24996768356099108,-0.13801232899834912,1.0,0.27360051390247514,0.12892493876581276,-0.061632726423640455,-0.20224399208730512,0.11751884887005118
mediation,0.2810160585474451,0.18513851277724028,0.32915618727660734,0.12389103813666848,0.08735978553730298,0.27360051390247514,1.0,0.28453262673916213,0.019715167158820105,-0.29577667108577305,0.1551006058930532
memberOf,0.05937328133920721,0.26589363416969347,0.13758646434694743,0.14046408328383944,0.014065079684431702,0.12892493876581276,0.28453262673916213,1.0,0.13750224840965217,-0.3443860480919011,0.19153755377372328
participation,0.32093339522397385,-0.02825790074235291,-0.07818954598152604,0.3695351337742693,0.5266074648503751,-0.061632726423640455,0.019715167158820105,0.13750224840965217,1.0,-0.07473046765028542,0.0942446662408637
none,-0.07360284468008674,-0.1668002073467601,0.020679610882837554,-0.03328411684411751,-0.07925350949113442,-0.20224399208730512,-0.29577667108577305,-0.3443860480919011,-0.07473046765028542,1.0,-0.1150633486407566
other,0.06391945159716214,-0.04264039768602286,0.28626393709340964,0.08149776972431548,0.09750612801727553,0.11751884887005118,0.1551006058930532,0.19153755377372328,0.0942446662408637,-0.1150633486407566,1.0
