Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,96,1,96,7.022677395757132
kind,92,2,188,13.752743233357718
relator,85,3,273,19.970738844184346
subkind,80,4,353,25.822970007315288
category,78,5,431,31.52889539136796
role,76,6,507,37.088514996342354
mediation,71,7,578,42.282370153621066
characterization,61,8,639,46.744696415508415
mode,51,9,690,50.475493782004385
roleMixin,49,10,739,54.059985369422094
event,49,11,788,57.644476956839796
material,48,12,836,61.15581565471836
componentOf,38,13,874,63.93562545720556
quality,37,14,911,66.64228237015362
phase,36,15,947,69.27578639356254
derivation,34,16,981,71.7629846378932
other_r,33,17,1014,74.17702999268471
collective,30,18,1044,76.37161667885881
memberOf,26,19,1070,78.27359180687637
participation,25,20,1095,80.10241404535479
type,24,21,1119,81.85808339429408
datatype,23,22,1142,83.54059985369422
externalDependence,21,23,1163,85.07681053401609
situation,20,24,1183,86.53986832479883
mixin,20,25,1203,88.00292611558157
none_c,19,26,1222,89.39283101682517
other_c,19,27,1241,90.78273591806877
instantiation,15,28,1256,91.88002926115581
creation,15,29,1271,92.97732260424286
historicalDependence,14,30,1285,94.00146305779077
manifestation,12,31,1297,94.87929773226043
bringsAbout,11,32,1308,95.68397951719093
quantity,10,33,1318,96.4155084125823
triggers,9,34,1327,97.07388441843453
phaseMixin,8,35,1335,97.65910753474762
enumeration,8,36,1343,98.24433065106072
comparative,5,37,1348,98.6100950987564
subCollectionOf,4,38,1352,98.90270665691295
historicalRole,4,39,1356,99.19531821506949
historicalRoleMixin,3,40,1359,99.41477688368691
participational,3,41,1362,99.63423555230432
subQuantityOf,2,42,1364,99.7805413313826
termination,2,43,1366,99.92684711046086
abstract,1,44,1367,100.0
