Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,6.45577792123951e-05,0.008928571428571428,0.00892880481710508,44,Q3
category,0.03395739186571982,0.6964285714285714,0.6972559498235658,5,Q1
collective,0.006649451258876695,0.26785714285714285,0.26793966518907947,18,Q2
datatype,0.004777275661717237,0.20535714285714285,0.20541270283309407,22,Q2
enumeration,0.004067140090380891,0.07142857142857142,0.07154426912647381,35,Q3
event,0.023369916074887025,0.4375,0.4381237302148187,11,Q1
historicalRole,0.0014848289218850873,0.03571428571428571,0.03574513842481099,38,Q3
historicalRoleMixin,0.0005810200129115558,0.026785714285714284,0.026792015117406195,40,Q3
kind,0.07863137508069723,0.8214285714285714,0.8251834893563158,2,Q1
mixin,0.005293737895416398,0.17857142857142858,0.17864987759006773,24,Q3
mode,0.02711426726920594,0.45535714285714285,0.4561636888667996,9,Q1
phase,0.01872175597159458,0.32142857142857145,0.32197333845719617,15,Q1
phaseMixin,0.0012911555842479018,0.07142857142857142,0.07144024005467273,36,Q3
quality,0.010458360232408006,0.33035714285714285,0.3305226454200763,14,Q1
quantity,0.0025177533892834086,0.08928571428571429,0.08932120609149573,33,Q3
relator,0.07501613944480309,0.7589285714285714,0.7626270370946826,3,Q1
role,0.11349257585539058,0.6785714285714286,0.6879969102021906,6,Q1
roleMixin,0.033505487411233055,0.4375,0.4387811159184774,10,Q1
situation,0.004712717882504842,0.17857142857142858,0.17863360493446045,25,Q3
subkind,0.10290510006455778,0.7142857142857143,0.7216602671977651,4,Q1
type,0.013234344738540994,0.21428571428571427,0.2146940037066646,21,Q1
none_c,0.02382182052937379,0.16964285714285715,0.17130726228892204,26,Q4
other_c,0.0071013557133634605,0.16964285714285715,0.169791425674442,27,Q4
bringsAbout,0.0016785022595222725,0.09821428571428571,0.09822862764083884,32,Q3
characterization,0.02937378954163977,0.5446428571428571,0.5454343785908358,8,Q1
comparative,0.0018076178179470626,0.044642857142857144,0.04467943795587978,37,Q3
componentOf,0.028728211749515817,0.3392857142857143,0.34049978864705976,13,Q1
creation,0.002775984506132989,0.13392857142857142,0.1339573377418208,29,Q3
derivation,0.011362169141381537,0.30357142857142855,0.30378398761701597,16,Q1
externalDependence,0.004712717882504842,0.1875,0.18755921654197663,23,Q3
historicalDependence,0.0022595222724338285,0.125,0.12502042009567726,30,Q3
instantiation,0.004067140090380891,0.13392857142857142,0.13399031261032546,28,Q3
manifestation,0.002194964493221433,0.10714285714285714,0.10716533817359601,31,Q3
material,0.034667527437056166,0.42857142857142855,0.4299712860719354,12,Q1
mediation,0.11213686249193028,0.6339285714285714,0.6437702304417341,7,Q1
memberOf,0.010974822466107165,0.23214285714285715,0.23240213607153345,19,Q1
participation,0.009425435765009683,0.22321428571428573,0.2234131960880984,20,Q1
participational,0.0005810200129115558,0.026785714285714284,0.026792015117406195,40,Q3
subCollectionOf,0.0012265978050355069,0.03571428571428571,0.03573534309695306,39,Q3
subQuantityOf,0.00019367333763718527,0.017857142857142856,0.01785819308838718,42,Q3
termination,0.00019367333763718527,0.017857142857142856,0.01785819308838718,42,Q3
triggers,0.0009683666881859264,0.08035714285714286,0.0803629774349237,34,Q3
none_r,0.11607488702388638,0.8571428571428571,0.8649666218696698,1,Q1
other_r,0.03182698515171078,0.29464285714285715,0.2963568292601899,17,Q1
