stereotype,total_correlation,rank
category,3.406476103176229,10
event,2.5110450890152705,18
kind,4.056557566330355,3
mode,3.483707192910244,9
phase,2.592648059084022,16
quality,2.4171723046829015,19
relator,4.605331207704891,2
role,3.0536253882223434,13
roleMixin,3.2152420533041877,11
subkind,3.7077862152848713,7
type,3.1522886860602197,12
none_c,1.7694894148385991,20
characterization,3.7212210295640107,6
componentOf,4.009164015845546,4
derivation,2.868121638154495,14
material,3.70179159757671,8
mediation,5.271593566458297,1
memberOf,3.924985945867804,5
none_r,2.517974575035314,17
other_r,2.8218772652885606,15
