stereotype,total_correlation,rank
category,3.4845145324648614,11
event,2.9591118753474284,17
kind,4.466928138221371,3
mode,4.050220478910296,6
phase,3.048906435205917,15
quality,2.730470089730292,18
relator,4.426037585552105,4
role,3.7026285105392143,10
roleMixin,3.081501936288067,14
subkind,4.0052994241143365,7
type,3.273303453112078,12
characterization,4.650516631619311,2
componentOf,3.9965145148071564,8
derivation,2.9663981768427146,16
material,3.879721733503593,9
mediation,5.137394707862645,1
memberOf,4.118682013627573,5
participation,3.1841387875329783,13
