Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf,participation
category,1.0,0.1343065895587048,0.052047357847066024,0.3585866115923253,0.021495707612362795,0.2308917036094438,0.014918352477148775,0.0219950409014414,0.3033896190285088,0.31618069306066343,0.30259591281371473,0.37925906738534076,0.2775271053544707,0.00510405147528143,0.1712996783938898,0.0912126477219282,0.1231255107643753,0.14415618681938763
event,0.1343065895587048,1.0,0.23286641657913754,0.2329131340977257,0.08419177166807851,0.14650656890293534,0.015275599236514241,0.020882125147579998,0.30237322749025763,0.06617163316022202,0.35969123769774713,0.2605274598481623,0.08315651595923629,0.03543388538816948,0.043589681390079654,0.030714662013976657,0.06964198177902908,0.6477804782905805
kind,0.052047357847066024,0.23286641657913754,1.0,0.091123555522502,0.2699068457413618,0.050969469451089856,0.24859608282023032,0.41769158133571815,0.1609977814062662,0.4618321072707034,0.1829280651001457,0.009135167630902405,0.27089067569533454,0.26722760116306304,0.33537698658179965,0.2733145787418242,0.2084951524030631,0.2070328907911163
mode,0.3585866115923253,0.2329131340977257,0.091123555522502,1.0,0.14173424675305027,0.1912699593687017,0.18226241953147201,0.21245856267455665,0.2849039252089187,0.2594150014184796,0.29121255232550364,0.5445739310313508,0.16745486299641496,0.03805403832053494,0.1596929170290877,0.2585276068727067,0.2865874457214153,0.12157017999732274
phase,0.021495707612362795,0.08419177166807851,0.2699068457413618,0.14173424675305027,1.0,0.0674700065161996,0.1979598312212114,0.33473763344906116,0.07645470532781458,0.3133342695010278,0.010448434639604437,0.07320426699453216,0.1738339995001976,0.16570485383143332,0.16679061973909967,0.28974812874988015,0.2641271034935339,0.052362783894691955
quality,0.2308917036094438,0.14650656890293534,0.050969469451089856,0.1912699593687017,0.0674700065161996,1.0,0.13330353045457533,0.06833210986818032,0.05299515737669616,0.19723060434200923,0.15758656517715522,0.5451428569377156,0.0036040503447925545,0.06503590865457265,0.03272078876099908,0.1037087900863059,0.12243010895883258,0.2857854857840631
relator,0.014918352477148775,0.015275599236514241,0.24859608282023032,0.18226241953147201,0.1979598312212114,0.13330353045457533,1.0,0.29214187187074514,0.16093924016241948,0.1933958283868901,0.014356851647180521,0.2940990199362967,0.17659461081074246,0.34322833644774886,0.30723879226880174,0.7339610029097516,0.2747523436544702,0.045129729122658314
role,0.0219950409014414,0.020882125147579998,0.41769158133571815,0.21245856267455665,0.33473763344906116,0.06833210986818032,0.29214187187074514,1.0,0.0858974744341452,0.13971233738165842,0.022723224039854495,0.06426044191864101,0.05194686639793646,0.20297551953040896,0.172872133368378,0.27911282472045207,0.18260475473936108,0.19730896898393338
roleMixin,0.3033896190285088,0.30237322749025763,0.1609977814062662,0.2849039252089187,0.07645470532781458,0.05299515737669616,0.16093924016241948,0.0858974744341452,1.0,0.03275516049866034,0.36143456841899047,0.2380852546467189,0.05045347741639111,0.02686995583466988,0.006243368659076033,0.2081286589125318,0.09403991333015564,0.2578750293439101
subkind,0.31618069306066343,0.06617163316022202,0.4618321072707034,0.2594150014184796,0.3133342695010278,0.19723060434200923,0.1933958283868901,0.13971233738165842,0.03275516049866034,1.0,0.08146712113476495,0.1446924889852199,0.251832229397833,0.016742368038090122,0.16964798182480112,0.23026384192964108,0.21122286100769758,0.06641637748371415
type,0.30259591281371473,0.35969123769774713,0.1829280651001457,0.29121255232550364,0.010448434639604437,0.15758656517715522,0.014356851647180521,0.022723224039854495,0.36143456841899047,0.08146712113476495,1.0,0.3128710179116338,0.1547613404492585,0.14501723618333137,0.03923090277741398,0.051822386647172265,0.10762719854893701,0.39404508381114545
characterization,0.37925906738534076,0.2605274598481623,0.009135167630902405,0.5445739310313508,0.07320426699453216,0.5451428569377156,0.2940990199362967,0.06426044191864101,0.2380852546467189,0.1446924889852199,0.3128710179116338,1.0,0.25938199807049633,0.06282947809631947,0.18933342520462398,0.3772421689795126,0.1933980841246222,0.3656740535821278
