Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,material,mediation,memberOf,participation
category,1.0,0.08538205980066445,0.11185827429468684,0.08561965417876789,0.010544218950271942,0.158957939186494,0.3567115940995665,0.11011739505465466,0.1791187625204388,-0.02860548272960811,0.011770061928616212,0.27939163038174203,0.14796194946926433,0.3050879001198786,0.2449879581273797,0.31849296891321816,0.26461312970176154,0.010582831856561606,-0.02804121163182692,0.1117001734824012,0.14141296601712253,0.15302075035705792,0.09605981218114125,0.04822428221704121,0.0821280682119724,0.10198156735065361
collective,0.08538205980066445,1.0,0.15440109337069888,-0.04888214298858735,0.13666929947083248,0.12458865503806288,0.19056781696612513,0.3134844917018348,-0.02755673269545212,0.23965812969805822,0.10691139585159726,-0.022727084900900925,-0.24421676605948467,0.18602920739016987,0.11002453209313459,0.19583218774930955,0.3387920753660952,0.04063807432919656,0.1450407498197944,0.030073123629877248,0.1276274253047615,0.05678673738463056,0.19727109693982003,0.2927902848891788,0.7112014646423324,0.06881109215701542
datatype,0.11185827429468684,0.15440109337069888,1.0,0.10591225501083243,0.12445737436017673,0.11856466525509837,0.06191276445987016,0.008080578200262523,0.14829862171647962,-0.11899499066571038,-0.0021655203470964893,-0.0648961558627385,0.1852910007645647,0.0944656111339443,0.06923076923076923,0.0968627901839575,0.13865754817664588,0.0074768151060222166,-0.016367039304407884,-0.037940692881631474,0.21157977583483098,0.020098316610888903,0.016056780832017774,-0.022815172571766094,0.15389722426612326,0.1304978683933063
event,0.08561965417876789,-0.04888214298858735,0.10591225501083243,1.0,-0.23497474231510324,-0.07067142711473183,0.1865571961920231,0.07184021778781324,0.09443866689203305,-0.07173131680234708,-0.10099126312202543,0.2461926531086755,0.519070286439275,0.0170009031119606,0.26813229116666437,0.1750832408435072,-0.09342613863368286,0.47351545860743427,-0.00294556342888999,0.2748333276684015,0.34381382106422137,0.2662169794646511,0.011631148965764197,-0.0598111556982876,0.09240024602269604,0.5969268512545752
kind,0.010544218950271942,0.13666929947083248,0.12445737436017673,-0.23497474231510324,1.0,0.03671014523910724,0.07067100582786576,0.2715592303717489,0.058867194044335644,0.15670787100393063,0.4773258887569664,-0.13760460686743495,-0.2073206410004042,0.37696131762224405,-0.20056440184661573,0.010748056036495259,0.20430808256237112,-0.00155021061041811,0.3068878455108467,-0.25172671021102105,-0.2860752522963603,-0.2042539620616343,0.35473875802653254,0.21864957787896097,0.15922601040349246,-0.2192548379284986
mixin,0.158957939186494,0.12458865503806288,0.11856466525509837,-0.07067142711473183,0.03671014523910724,1.0,0.1910625439490901,0.20577699930199783,0.1336306209562122,0.022555498415031947,0.2663568019517165,0.13715053641694966,-0.04629100498862757,0.0,0.17073311796734164,0.20023571015840683,0.08060847223444574,-0.13685128863392962,-0.004167969360669628,-0.1111111111111111,0.005750546327852952,-0.005605606616635937,0.13715053641694966,0.1336306209562122,0.11602056973036094,-0.06388499578922925
mode,0.3567115940995665,0.19056781696612513,0.06191276445987016,0.1865571961920231,0.07067100582786576,0.1910625439490901,1.0,0.1519373511750785,0.20321233656861826,0.16780707777484707,0.13412621164388103,0.30335905282734177,-0.04656887981984692,0.21611757292616207,0.2632956811169747,0.5136523097517445,0.18585234492627967,0.11026628941510301,0.08161701404078245,0.2768457269466408,0.06498108576366099,0.13573557693938512,0.1702441103355617,0.2438548038823419,0.2705997364824943,0.08134980804260898
phase,0.11011739505465466,0.3134844917018348,0.008080578200262523,0.07184021778781324,0.2715592303717489,0.20577699930199783,0.1519373511750785,1.0,0.11219228143654662,0.12799132310557373,0.2477416675908394,0.05979928857250723,-0.051438370146661416,0.3599803799983269,0.008080578200262523,0.06893170694620138,0.2078065655310054,0.04420126627634129,0.17877319925043994,-0.11111957962307883,0.029819920225856122,0.012042591248276734,0.1651737630959059,0.2144852439228097,0.2598265474807513,0.048001909068458415
quality,0.1791187625204388,-0.02755673269545212,0.14829862171647962,0.09443866689203305,0.058867194044335644,0.1336306209562122,0.20321233656861826,0.11219228143654662,1.0,0.15552783137356307,0.1661026492566873,0.0471278863179632,0.19794866372215741,0.11572751247156893,0.1901264380980508,0.4942290234016396,-0.012926112238824687,0.07022408708662978,-0.043443530035834434,0.1781741612749496,0.1613743060919757,0.2876469861186478,-0.021993013615049493,0.10714285714285714,-0.12880163722232754,0.25976846042317675
relator,-0.02860548272960811,0.23965812969805822,-0.11899499066571038,-0.07173131680234708,0.15670787100393063,0.022555498415031947,0.16780707777484707,0.12799132310557373,0.15552783137356307,1.0,0.15894949865314448,0.13045725974849645,-0.09062932866172635,0.12110853465911132,-0.025801502830429115,0.30318436568458695,0.12501697504857762,0.0248915441285496,0.3550217291913647,0.07217759492810223,0.05463235193135126,-0.04324153989563397,0.28446046393940444,0.7197683358916058,0.24929008924777074,0.05335661331324842
