Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf,participation
category,1.0,0.14556143004199643,0.211660690969853,0.36531504283981675,0.004597493136484812,0.2370013603802872,0.04001081558239371,0.04697917590083398,0.31658958044434987,0.33062046105944753,0.36963285906368754,0.41377866605290264,0.2977869234138919,-0.0012561501945900703,0.24480355202947332,0.12056458972352503,0.18169396702031088,0.15666177461101713
event,0.14556143004199643,1.0,-0.2327116956624565,0.233681405346716,0.11001695719343044,0.1638682866437349,-0.006112160006861589,-0.0046273145786442415,0.33262228217360007,0.09722495198760696,0.3855415251964779,0.2903133234207768,-0.07537108707823277,-0.05907933388222229,0.0649571657459339,0.02607554910533105,0.06604244884795915,0.6653049584354475
kind,0.211660690969853,-0.2327116956624565,1.0,0.11708179106797179,0.2643427480765411,0.1431387025850075,0.35216820906560686,0.38962844857466644,-0.17065078441627712,0.5652824421474002,-0.15727277237986417,0.020777398326186147,0.45925657241363044,0.244581865893386,0.3629632048015506,0.30207865975753434,0.2788215384434002,-0.19451061364003833
mode,0.36531504283981675,0.233681405346716,0.11708179106797179,1.0,0.12619266103472954,0.19466385488535748,0.16740938840296848,0.27508737057464877,0.2775513275018219,0.2772787322879283,0.30934393409183314,0.5752241761147979,0.22112611106499788,0.030424734562885403,0.1806493578511387,0.26970418316916284,0.31708700386084365,0.1123994042526768
phase,0.004597493136484812,0.11001695719343044,0.2643427480765411,0.12619266103472954,1.0,0.07984967015998805,0.27543532372066715,0.4136145769431063,0.09072537451424469,0.30768273271651686,0.017938426385762027,0.10321320364582393,0.17831402300429833,0.17742020547063037,0.1983866672013199,0.3873633274993509,0.26161391010110174,0.05219913440192156
quality,0.2370013603802872,0.1638682866437349,0.1431387025850075,0.19466385488535748,0.07984967015998805,1.0,0.1150171647407514,0.03746470509120601,0.04070968056900017,0.32379958554147875,0.1297531059660385,0.5882034110466888,0.01780125461689772,-0.09372380390076596,0.04521294510103414,0.12027820076843392,-0.09701878390093358,0.3029655738326885
relator,0.04001081558239371,-0.006112160006861589,0.35216820906560686,0.16740938840296848,0.27543532372066715,0.1150171647407514,1.0,0.436303231558374,0.18751968509007705,0.261619425288823,0.08414359913499396,0.2762186041298694,0.36715576100423764,0.3561311801577859,0.38264026648249483,0.7690036931133466,0.3218733038398326,0.0272757742330205
role,0.04697917590083398,-0.0046273145786442415,0.38962844857466644,0.27508737057464877,0.4136145769431063,0.03746470509120601,0.436303231558374,1.0,0.1069954552494198,0.23881141864778477,0.0074968088788427015,0.1195052827054428,0.15495078943551513,0.2679304983811936,0.23460148237576026,0.47152217356482434,0.30557703017536897,-0.19153274790358135
roleMixin,0.31658958044434987,0.33262228217360007,-0.17065078441627712,0.2775513275018219,0.09072537451424469,0.04070968056900017,0.18751968509007705,0.1069954552494198,1.0,0.023822837811870997,0.43446695048989303,0.2789702937331843,0.07405210028838119,0.06216308171081878,0.03411438945794279,0.2373042165286253,0.12042186986568218,0.2928220264428778
subkind,0.33062046105944753,0.09722495198760696,0.5652824421474002,0.2772787322879283,0.30768273271651686,0.32379958554147875,0.261619425288823,0.23881141864778477,0.023822837811870997,1.0,0.09968291990053711,0.2390167866950016,0.33072697849232807,0.01589321467555802,0.25615294542198874,0.29340429155818687,0.25263135512951074,0.09164834475236704
type,0.36963285906368754,0.3855415251964779,-0.15727277237986417,0.30934393409183314,0.017938426385762027,0.1297531059660385,0.08414359913499396,0.0074968088788427015,0.43446695048989303,0.09968291990053711,1.0,0.3202716121901281,0.1516017716901574,-0.14115529844254518,-0.031520019273884245,0.0883713421312033,0.13806581323672287,0.4070446946595067
characterization,0.41377866605290264,0.2903133234207768,0.020777398326186147,0.5752241761147979,0.10321320364582393,0.5882034110466888,0.2762186041298694,0.1195052827054428,0.2789702937331843,0.2390167866950016,0.3202716121901281,1.0,0.24969716214062157,0.04665630271928926,0.1945426333719225,0.3530151870330434,0.20010568056885358,0.38100690772477863
componentOf,0.2977869234138919,-0.07537108707823277,0.45925657241363044,0.22112611106499788,0.17831402300429833,0.01780125461689772,0.36715576100423764,0.15495078943551513,0.07405210028838119,0.33072697849232807,0.1516017716901574,0.24969716214062157,1.0,0.2118181066215302,0.39443052837074005,0.34662888480169085,0.449182929976259,-0.016613530393746162
derivation,-0.0012561501945900703,-0.05907933388222229,0.244581865893386,0.030424734562885403,0.17742020547063037,-0.09372380390076596,0.3561311801577859,0.2679304983811936,0.06216308171081878,0.01589321467555802,-0.14115529844254518,0.04665630271928926,0.2118181066215302,1.0,0.5021701104711027,0.42094541834163085,0.2706753552558067,-0.06437351616097382
material,0.24480355202947332,0.0649571657459339,0.3629632048015506,0.1806493578511387,0.1983866672013199,0.04521294510103414,0.38264026648249483,0.23460148237576026,0.03411438945794279,0.25615294542198874,-0.031520019273884245,0.1945426333719225,0.39443052837074005,0.5021701104711027,1.0,0.41784267672248965,0.297171249166107,-0.037562539658708836
mediation,0.12056458972352503,0.02607554910533105,0.30207865975753434,0.26970418316916284,0.3873633274993509,0.12027820076843392,0.7690036931133466,0.47152217356482434,0.2373042165286253,0.29340429155818687,0.0883713421312033,0.3530151870330434,0.34662888480169085,0.42094541834163085,0.41784267672248965,1.0,0.44188742092675926,0.07140489311750671
memberOf,0.18169396702031088,0.06604244884795915,0.2788215384434002,0.31708700386084365,0.26161391010110174,-0.09701878390093358,0.3218733038398326,0.30557703017536897,0.12042186986568218,0.25263135512951074,0.13806581323672287,0.20010568056885358,0.449182929976259,0.2706753552558067,0.297171249166107,0.44188742092675926,1.0,0.11881235331212125
participation,0.15666177461101713,0.6653049584354475,-0.19451061364003833,0.1123994042526768,0.05219913440192156,0.3029655738326885,0.0272757742330205,-0.19153274790358135,0.2928220264428778,0.09164834475236704,0.4070446946595067,0.38100690772477863,-0.016613530393746162,-0.06437351616097382,-0.037562539658708836,0.07140489311750671,0.11881235331212125,1.0
