stereotype,total_correlation,rank
category,3.7611330280954998,12
event,4.125469955415159,9
kind,4.769866242941961,3
mode,4.552446909701556,5
phase,3.167951928504084,18
quality,3.380854181118643,16
relator,4.175028515002236,8
role,3.7130753547644835,13
roleMixin,3.6253470096606115,14
subkind,3.538742087204693,15
type,4.496514670634537,6
characterization,5.45915175802393,1
componentOf,3.835341572361672,11
derivation,3.2431707665913967,17
material,3.9332278710281137,10
mediation,5.046450785694693,2
memberOf,4.455123891906131,7
participation,4.676890318873567,4
