Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,characterization,componentOf,externalDependence,instantiation,material,mediation,participation,none_r,other_r
category,1.0,0.16767519672551182,0.0840566978668947,0.04894728200050768,0.26668107487366893,0.1481846161605411,0.25406555121304,0.08668927434804104,0.13404096669652033,0.19726478788688226,0.2692446258767243,0.11060893640959205,0.28526589645497685,0.032411078169478365,0.3518127846662943,0.32785210750746274,0.1361534464591555,0.2334419052039324,0.008841889868715399,0.1521487652521348,0.09596190599054426,0.10682213348462842,0.15655139773842336
datatype,0.16767519672551182,1.0,0.09284198423821902,0.04543705105268971,0.07787188355445432,0.0065490678664327845,0.13592285637946014,0.09823168486707513,0.08972948559934592,0.052085078548076286,0.19201016904125315,0.013062704868151344,0.0993993189587929,0.1515192144039474,0.07422412422691627,0.13889404519826068,0.036124580609301814,0.06722730322673001,0.013607901183302795,0.010317391439567692,0.10694001566779109,0.05191065876944608,0.0759356773226515
event,0.0840566978668947,0.09284198423821902,1.0,0.23020153018854703,0.15370011000300424,0.03907658882237223,0.12079180572581653,0.014556645512614404,0.14014382204589465,0.2606296639133591,0.544726754519158,0.08876834352763215,0.35380058288157984,0.02986945101694817,0.19362745749062885,0.032864869080277276,0.31637383074051784,0.3629413106485491,0.012943902773916136,0.07932419697630466,0.7088812471264863,0.14456133989779119,0.22800787547886162
kind,0.04894728200050768,0.04543705105268971,0.23020153018854703,1.0,0.004943764652345385,0.2795790058818759,0.13770465818424574,0.3330746833165721,0.3665154147897872,0.2025173446331405,0.2132627899963697,0.5087667865950912,0.3218346456605679,0.05801287809101818,0.0698609070214728,0.19611021101142376,0.29090040069509354,0.25948669522686885,0.2564645007077942,0.2691582369989316,0.3257218936991947,0.06782258920461347,0.06827334231659739
mode,0.26668107487366893,0.07787188355445432,0.15370011000300424,0.004943764652345385,1.0,0.03601520510921701,0.25793913714778277,0.0849692182402633,0.1197937021267551,0.13110003929191183,0.06751446519433986,0.09173606222738234,0.23185085374159958,0.09411222064721626,0.5801125274172505,0.208978349260191,0.3698322266748358,0.18251116915940124,0.11886780297976504,0.18650233292400906,0.035523878027878174,0.016205971511881783,0.02019673609869555
phase,0.1481846161605411,0.0065490678664327845,0.03907658882237223,0.2795790058818759,0.03601520510921701,1.0,0.05953887769736796,0.15949940389875444,0.24488965628397275,0.0876043208178304,0.08656745052271415,0.34337941675639555,0.11159124999405702,0.1434157310576306,0.042022473293096885,0.17766813539486517,0.15510711472475322,0.062206725019353336,0.12003000172414088,0.19603828448174582,0.12465886793126361,0.08703960837087038,0.002262288827004059
quality,0.25406555121304,0.13592285637946014,0.12079180572581653,0.13770465818424574,0.25793913714778277,0.05953887769736796,1.0,0.17253627620579393,0.07027679021587453,0.05242416251644629,0.1846154852034053,0.23211820065106584,0.1605283455798214,0.268862780959812,0.5559611496471745,0.09564759945367536,0.08289718682306127,0.1754567787205773,0.0767043050657373,0.09251800781152776,0.1542160526929753,0.10036586879005131,0.10932340187407565
relator,0.08668927434804104,0.09823168486707513,0.014556645512614404,0.3330746833165721,0.0849692182402633,0.15949940389875444,0.17253627620579393,1.0,0.2481629399457939,0.14660877587248525,0.20189615846910228,0.2834561431905542,0.04165465346308361,0.09531997714510945,0.14571967864199395,0.21004857757113324,0.026533922163174316,0.0591009362110671,0.23922421481003867,0.7745270683571223,0.09684126156474755,0.10509474382209301,0.0626333321829745
role,0.13404096669652033,0.08972948559934592,0.14014382204589465,0.3665154147897872,0.1197937021267551,0.24488965628397275,0.07027679021587453,0.2481629399457939,1.0,0.019554719266285887,0.21505143284034647,0.08012290987849356,0.21354955171974438,0.04455085924874022,0.024495680850288047,0.02944495787913773,0.032947417565231486,0.23375882381398969,0.023361947790914106,0.2620147008529067,0.337528236767895,0.13884655758320436,0.06023536585797391
roleMixin,0.19726478788688226,0.052085078548076286,0.2606296639133591,0.2025173446331405,0.13110003929191183,0.0876043208178304,0.05242416251644629,0.14660877587248525,0.019554719266285887,1.0,0.19232705101772513,0.10679877157651858,0.354571471479265,0.06007728910764052,0.18707539301725337,0.09427778491914705,0.3952863147033154,0.3661726799513995,0.015590116029099106,0.13849894390915335,0.21809749255954003,0.02554463484990032,0.09504224278940261
situation,0.2692446258767243,0.19201016904125315,0.544726754519158,0.2132627899963697,0.06751446519433986,0.08656745052271415,0.1846154852034053,0.20189615846910228,0.21505143284034647,0.19232705101772513,1.0,0.08589170451962391,0.10095962687878024,0.11723139904636327,0.1681327590045914,0.017445882049870017,0.03776088052243593,0.1330214688430429,0.1455002972786655,0.19827490374965367,0.5080322805538732,0.136934583342772,0.007332434117704588
subkind,0.11060893640959205,0.013062704868151344,0.08876834352763215,0.5087667865950912,0.09173606222738234,0.34337941675639555,0.23211820065106584,0.2834561431905542,0.08012290987849356,0.10679877157651858,0.08589170451962391,1.0,0.1138666473276887,0.16417268005432287,0.019014134146668932,0.2444985083653238,0.09794012379487572,0.07843682384914766,0.09964889794019452,0.18464408175420596,0.17603313265567977,0.09541521649737114,0.05367116519217
type,0.28526589645497685,0.0993993189587929,0.35380058288157984,0.3218346456605679,0.23185085374159958,0.11159124999405702,0.1605283455798214,0.04165465346308361,0.21354955171974438,0.354571471479265,0.10095962687878024,0.1138666473276887,1.0,0.07111303507830481,0.27178573803084743,0.21057126970517587,0.5204472366230696,0.9304656353560721,0.22957008072252286,0.02955314898729837,0.4056824037088143,0.060570747978519184,0.16234830494407687
none_c,0.032411078169478365,0.1515192144039474,0.02986945101694817,0.05801287809101818,0.09411222064721626,0.1434157310576306,0.268862780959812,0.09531997714510945,0.04455085924874022,0.06007728910764052,0.11723139904636327,0.16417268005432287,0.07111303507830481,1.0,0.17082815315887145,0.017041820255736955,0.02355854469842707,0.00559900283142512,0.09189668503739447,0.03472222636359151,0.08698199724803403,0.05928932756941638,0.04179319016213779
characterization,0.3518127846662943,0.07422412422691627,0.19362745749062885,0.0698609070214728,0.5801125274172505,0.042022473293096885,0.5559611496471745,0.14571967864199395,0.024495680850288047,0.18707539301725337,0.1681327590045914,0.019014134146668932,0.27178573803084743,0.17082815315887145,1.0,0.26638838530773584,0.3384570248010292,0.25158851058193993,0.19641568931441797,0.16646144046325664,0.20036455947228518,0.03156770578868528,0.008134218866867571
componentOf,0.32785210750746274,0.13889404519826068,0.032864869080277276,0.19611021101142376,0.208978349260191,0.17766813539486517,0.09564759945367536,0.21004857757113324,0.02944495787913773,0.09427778491914705,0.017445882049870017,0.2444985083653238,0.21057126970517587,0.017041820255736955,0.26638838530773584,1.0,0.04176621127322988,0.26265133730911366,0.22122671037635705,0.1933609615720551,0.00625968401293258,0.03272949809643915,0.031976632449147675
externalDependence,0.1361534464591555,0.036124580609301814,0.31637383074051784,0.29090040069509354,0.3698322266748358,0.15510711472475322,0.08289718682306127,0.026533922163174316,0.032947417565231486,0.3952863147033154,0.03776088052243593,0.09794012379487572,0.5204472366230696,0.02355854469842707,0.3384570248010292,0.04176621127322988,1.0,0.5033460296912488,0.2899323615723586,0.024047670119255692,0.23550210239692349,0.04816111323058892,0.11294579034512892
instantiation,0.2334419052039324,0.06722730322673001,0.3629413106485491,0.25948669522686885,0.18251116915940124,0.062206725019353336,0.1754567787205773,0.0591009362110671,0.23375882381398969,0.3661726799513995,0.1330214688430429,0.07843682384914766,0.9304656353560721,0.00559900283142512,0.25158851058193993,0.26265133730911366,0.5033460296912488,1.0,0.17852350996799682,0.060245922110852966,0.45842139226939776,0.09145079431958351,0.20301040788612346
material,0.008841889868715399,0.013607901183302795,0.012943902773916136,0.2564645007077942,0.11886780297976504,0.12003000172414088,0.0767043050657373,0.23922421481003867,0.023361947790914106,0.015590116029099106,0.1455002972786655,0.09964889794019452,0.22957008072252286,0.09189668503739447,0.19641568931441797,0.22122671037635705,0.2899323615723586,0.17852350996799682,1.0,0.358453116983724,0.05691722242935305,0.2374572034086286,0.09870417780134091
mediation,0.1521487652521348,0.010317391439567692,0.07932419697630466,0.2691582369989316,0.18650233292400906,0.19603828448174582,0.09251800781152776,0.7745270683571223,0.2620147008529067,0.13849894390915335,0.19827490374965367,0.18464408175420596,0.02955314898729837,0.03472222636359151,0.16646144046325664,0.1933609615720551,0.024047670119255692,0.060245922110852966,0.358453116983724,1.0,0.07626486602162112,0.1782655840617046,0.13197498302034008
participation,0.09596190599054426,0.10694001566779109,0.7088812471264863,0.3257218936991947,0.035523878027878174,0.12465886793126361,0.1542160526929753,0.09684126156474755,0.337528236767895,0.21809749255954003,0.5080322805538732,0.17603313265567977,0.4056824037088143,0.08698199724803403,0.20036455947228518,0.00625968401293258,0.23550210239692349,0.45842139226939776,0.05691722242935305,0.07626486602162112,1.0,0.061488398471569894,0.13348694746353704
