Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,phaseMixin,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers,none_r,other_r
category,1.0,0.040429678606030806,0.16184346018628715,0.05603981379114713,-0.09618786933709322,0.09618786933709322,0.2765070257329182,-0.07993402942587415,0.23877454115352714,0.23967797282982925,-0.04834024066335533,-0.07333242890562076,0.18501325178528844,0.2555274258234741,0.14534610779206675,0.21560984046602585,0.00863224468409811,0.0722040481431843,0.2712991186430835,0.3125394223742557,0.38311688311688313,-0.05067421524769317,-0.12191516305559454,0.11044204887501098,0.15972299264172787,0.17897701555568227,0.11855466612665934,-0.0008727040178551341,-0.1384149595593592,-0.05067421524769317,0.05380333951762523,0.046126899995567745,0.078923379968897,-0.1950163433300603
collective,0.040429678606030806,1.0,0.05236011021878916,0.05773764546566411,0.1428852480466698,0.0432588365645881,0.0246461595862305,0.3837982105845572,0.09950837523313996,-0.0724011744728169,0.22229988909314732,0.05749012958892957,-0.023192212262780898,-0.2888184332557083,0.2791365016114583,-0.004365605298758394,-0.049813205741040846,-0.02741187286063602,-0.23595729035229873,0.1069575201911755,0.23961980246988987,0.036675356603899464,0.011692907713002625,-0.041928721174004195,0.14266765077574944,0.036675356603899464,0.018903625458103614,0.042673670563516855,0.2650392414947262,0.6876629363231149,0.029582691662949367,-0.207669652660466,0.049813205741040846,0.12822884135213672
datatype,0.16184346018628715,0.05236011021878916,1.0,0.08875543809673568,0.03741724203874169,-0.1322966772084081,-0.07537431142740433,0.0009732619374563063,0.11320200430533935,0.1550884497269276,-0.11387778634594276,-0.034766595687257366,-0.06336213725892931,0.21965194991971335,0.040951026655107525,0.0923454316588914,0.15234162830059114,0.08383257580464282,0.15234162830059114,-0.05306991817507377,0.12364438262679081,-0.0292090358935789,-0.03575992699260758,-0.0235086209145584,0.24640348588166783,0.05374462604418518,-0.14902690457581697,0.0037828141647121972,-0.034766595687257366,0.05374462604418518,0.12364438262679081,0.11320200430533935,0.22717611237807453,-0.08278867102396514
event,0.05603981379114713,0.05773764546566411,0.08875543809673568,1.0,-0.20286216504702448,-0.12263419016967017,0.15163728072485871,0.04340573661412155,-0.054218299801580216,0.08974358974358974,-0.08594799233872416,-0.09882484909656829,0.22629411844085692,0.5471216549024155,-0.09185745459743537,0.324436933793494,-0.04126010136549651,0.08028795765080084,0.4469844314595455,0.15971918500385288,-0.05603981379114713,0.5471216549024155,0.09882484909656829,0.31801528534262613,0.37627026463057217,0.333684086231693,0.39446072282200906,-0.004055450151269837,-0.09882484909656829,0.12024651756097045,0.6785128223635813,0.3933978962347216,0.2853823677780175,0.22142146135711951
kind,-0.09618786933709322,0.1428852480466698,0.03741724203874169,-0.20286216504702448,1.0,0.047540983606557376,0.06392677402814077,0.2984875154237831,-0.11181794429869964,0.12263419016967017,0.2863843625663952,0.49839520319695246,-0.15777941689868233,-0.2063935537420056,0.486909681594166,-0.3630574751376884,0.047540983606557376,0.1542625451617058,-0.3016393442622951,-0.05563396456456074,0.09618786933709322,-0.10463006543865562,0.28027114116210045,-0.3224749634814749,-0.4364566557112513,-0.3081570420453556,-0.27422835785230637,0.25407126691773113,0.3253582377838296,0.20066039947139436,-0.34159025392788234,-0.23986752567301695,-0.047540983606557376,0.1322966772084081
mixin,0.09618786933709322,0.0432588365645881,-0.1322966772084081,-0.12263419016967017,0.047540983606557376,1.0,0.09817326011464476,0.12536475647798892,-0.01623163707561769,0.12148807624285082,0.11036275435485474,0.193752658455539,0.07540928013539965,-0.09889691116804436,-0.029626779567898987,0.07233851948232137,0.06885245901639345,-0.1542625451617058,-0.047540983606557376,0.13967676209825888,0.078923379968897,-0.09889691116804436,-0.10723417574897755,-0.049813205741040846,0.12238480548660087,0.10463006543865562,0.27422835785230637,0.15777941689868233,0.193752658455539,0.0028665771353056334,-0.00863224468409811,-0.01623163707561769,-0.18524590163934426,0.05746219313092473
mode,0.2765070257329182,0.0246461595862305,-0.07537431142740433,0.15163728072485871,0.06392677402814077,0.09817326011464476,1.0,0.06069230328831316,0.19340385753891898,0.26496619579291103,0.15078277597114062,0.12134200876139878,0.178537031258627,-0.049903181939901876,0.06996418989114424,0.22525098012401096,0.09817326011464476,-0.19574308468858037,0.09817326011464476,0.5530816741244274,0.21124449792017974,0.09182185476941945,0.059398186106978425,0.34869751710889074,0.0564724586384913,0.1626843731240801,0.21290675542536713,0.12117898049228075,0.24183547200698358,0.1626843731240801,0.028337676550268014,0.015070430457578101,-0.017123243043251992,-0.07537431142740433
phase,-0.07993402942587415,0.3837982105845572,0.0009732619374563063,0.04340573661412155,0.2984875154237831,0.12536475647798892,0.06069230328831316,1.0,0.20359518827843434,0.04340573661412155,0.09258760050954958,0.19524918239576058,-0.07266510190139398,-0.0688959304442221,0.3790128833038031,-0.1153102020106939,-0.1289466066630743,0.16228460869251327,-0.0441761522827199,-0.051726060011187174,0.20746922244243737,-0.143011249558461,-0.006212473985319655,-0.15848383820158332,-0.044030058614366985,-0.0688959304442221,-0.07116571245885213,0.10730776676136089,0.13223694625894694,0.2275653460127336,-0.11136876009897072,-0.26270346874636685,-0.0405943020976345,0.0009732619374563063
phaseMixin,0.23877454115352714,0.09950837523313996,0.11320200430533935,-0.054218299801580216,-0.11181794429869964,-0.01623163707561769,0.19340385753891898,0.20359518827843434,1.0,0.1248281786129405,-0.03381175937165205,-0.13406030251828893,0.33822597825239953,-0.06464979361865095,0.014171187996904913,0.34085467338648645,-0.01623163707561769,-0.0018856784258392519,-0.01623163707561769,0.08594799233872416,0.24284456174137137,0.04730472703803727,-0.05630532705768135,0.09950837523313996,0.1768176265953649,0.3831682890081019,-0.0294755342412503,0.06636887120424444,-0.03887748773030379,-0.06464979361865095,-0.046126899995567745,-0.12698412698412698,-0.11181794429869964,-0.19994120240943053
quality,0.23967797282982925,-0.0724011744728169,0.1550884497269276,0.08974358974358974,0.12263419016967017,0.12148807624285082,0.26496619579291103,0.04340573661412155,0.1248281786129405,1.0,0.19142961929988564,0.14312564351916787,0.05353194199676185,0.19139237378454463,0.16390251702679645,0.18893680262091708,0.28423625385119816,-0.08987457945985168,0.20286216504702448,0.5122599767740151,0.06638562556797428,-0.0931910511097521,-0.08263802036523384,0.12280705543490461,0.0835010724248667,0.19139237378454463,0.1597676111988584,0.05353194199676185,0.08263802036523384,-0.16433690733332626,0.127598345247535,0.1248281786129405,-0.12148807624285082,-0.1102435967938401
relator,-0.04834024066335533,0.22229988909314732,-0.11387778634594276,-0.08594799233872416,0.2863843625663952,0.11036275435485474,0.15078277597114062,0.09258760050954958,-0.03381175937165205,0.19142961929988564,1.0,0.15784084898842185,0.14928413640374685,-0.1771034060146992,0.2327114464578656,-0.2163375789176445,-0.08801080410577024,-0.11392993777741742,-0.18719758333608272,0.1795508346917447,0.12295235125244726,-0.09038380720750167,0.3582571901381943,-0.015639188177407348,-0.0226176348920291,-0.1771034060146992,-0.1598215545317004,0.28967054282316446,0.7476671794188403,0.2564945880212885,-0.10088398051482851,-0.03381175937165205,-0.11036275435485474,0.047828670265295956
role,-0.07333242890562076,0.05749012958892957,-0.034766595687257366,-0.09882484909656829,0.49839520319695246,0.193752658455539,0.12134200876139878,0.19524918239576058,-0.13406030251828893,0.14312564351916787,0.15784084898842185,1.0,0.024146258766672733,-0.1864455689075722,0.0574497629972366,-0.20291031398236417,0.02071569304241612,0.08281551758414439,-0.3253582377838296,-0.026396344464997935,0.008249898251882336,-0.1108019380936429,0.15760869565217392,-0.011692907713002625,-0.29483705893860934,-0.26208919972150146,-0.11949333088705083,0.024146258766672733,0.16394927536231885,0.11612895434814496,-0.31716275501680985,-0.22924311730627409,-0.193752658455539,-0.034766595687257366
roleMixin,0.18501325178528844,-0.023192212262780898,-0.06336213725892931,0.22629411844085692,-0.15777941689868233,0.07540928013539965,0.178537031258627,-0.07266510190139398,0.33822597825239953,0.05353194199676185,0.14928413640374685,0.024146258766672733,1.0,0.16431981023917477,-0.0802196117449302,0.3061923119548948,0.07540928013539965,-0.14434648665890407,0.15777941689868233,0.15581037370064493,0.12479667455328418,0.3083532241525255,0.03708175453453312,0.3720030846950056,0.19930768748231253,0.3083532241525255,0.19852919901646388,0.0090311986863711,0.14660228536908443,0.09230310328249941,0.1867586598209987,0.15698790688696282,0.006960856627883044,0.0709277655883537
situation,0.2555274258234741,-0.2888184332557083,0.21965194991971335,0.5471216549024155,-0.2063935537420056,-0.09889691116804436,-0.049903181939901876,-0.0688959304442221,-0.06464979361865095,0.19139237378454463,-0.1771034060146992,-0.1864455689075722,0.16431981023917477,1.0,-0.10023285219334539,0.07159924926194092,0.10463006543865562,0.1303769171002741,0.8169744835621056,0.1562725038953656,-0.025876195020098643,0.11027568922305764,0.1108019380936429,0.036675356603899464,0.22302779183353735,0.11027568922305764,0.17913066528567906,0.16431981023917477,-0.1864455689075722,-0.15664160401002505,0.509976676854444,0.6070773303214784,0.09889691116804436,-0.0292090358935789
subkind,0.14534610779206675,0.2791365016114583,0.040951026655107525,-0.09185745459743537,0.486909681594166,-0.029626779567898987,0.06996418989114424,0.3790128833038031,0.014171187996904913,0.16390251702679645,0.2327114464578656,0.0574497629972366,-0.0802196117449302,-0.10023285219334539,1.0,-0.13083984540414642,-0.2125399403784058,0.1346804095103498,-0.029626779567898987,0.002790293269653891,0.19863968064915788,-0.18019389158354226,0.010532456549493377,-0.1596537186338599,-0.12512947149597697,-0.10023285219334539,-0.09287756553050773,0.049225670843479896,0.12543198254396656,0.29957234475763905,-0.21414326548031165,-0.08644424678111996,-0.06182980083735441,0.040951026655107525
type,0.21560984046602585,-0.004365605298758394,0.0923454316588914,0.324436933793494,-0.3630574751376884,0.07233851948232137,0.22525098012401096,-0.1153102020106939,0.34085467338648645,0.18893680262091708,-0.2163375789176445,-0.20291031398236417,0.3061923119548948,0.07159924926194092,-0.13083984540414642,1.0,0.07233851948232137,-0.20549632357522252,0.16924483803411036,0.27003266083501437,0.22177012162219803,0.3257765841418312,-0.22928865480007152,0.5380608530719719,0.4419523950154026,0.9188570321949084,0.7006932812437731,-0.24244249306207757,-0.1308771525186249,-0.013126529031355834,0.36756344231827265,0.12763280721520417,0.12147411762125664,0.171339716571919
none_c,0.00863224468409811,-0.049813205741040846,0.15234162830059114,-0.04126010136549651,0.047540983606557376,0.06885245901639345,0.09817326011464476,-0.1289466066630743,-0.01623163707561769,0.28423625385119816,-0.08801080410577024,0.02071569304241612,0.07540928013539965,0.10463006543865562,-0.2125399403784058,0.07233851948232137,1.0,0.08912947053787446,0.06885245901639345,0.22371955963195703,-0.00863224468409811,0.10463006543865562,-0.10723417574897755,-0.049813205741040846,-0.08699642799649941,0.0028665771353056334,0.05043280144410232,0.07540928013539965,0.02071569304241612,-0.09889691116804436,0.078923379968897,-0.14428121844993502,0.047540983606557376,-0.03741724203874169
other_c,0.0722040481431843,-0.02741187286063602,0.08383257580464282,0.08028795765080084,0.1542625451617058,-0.1542625451617058,-0.19574308468858037,0.16228460869251327,-0.0018856784258392519,-0.08987457945985168,-0.11392993777741742,0.08281551758414439,-0.14434648665890407,0.1303769171002741,0.1346804095103498,-0.20549632357522252,0.08912947053787446,1.0,-0.032566537311915666,-0.1497529340051324,-0.0722040481431843,-0.18882174200729354,0.007644509315459482,-0.1247240215158939,-0.18037780151448546,-0.18882174200729354,-0.1631346168837456,-0.14434648665890407,-0.2790245900142711,-0.18882174200729354,-0.16374846632472156,-0.0018856784258392519,0.1542625451617058,0.08383257580464282
bringsAbout,0.2712991186430835,-0.23595729035229873,0.15234162830059114,0.4469844314595455,-0.3016393442622951,-0.047540983606557376,0.09817326011464476,-0.0441761522827199,-0.01623163707561769,0.20286216504702448,-0.18719758333608272,-0.3253582377838296,0.15777941689868233,0.8169744835621056,-0.029626779567898987,0.16924483803411036,0.06885245901639345,-0.032566537311915666,1.0,0.22371955963195703,0.078923379968897,0.10463006543865562,-0.02071569304241612,0.13633087887021705,0.33176603896970114,0.2063935537420056,0.27422835785230637,0.15777941689868233,-0.23883975507726818,-0.09889691116804436,0.5167015032338725,0.6240162697959689,0.047540983606557376,-0.1322966772084081
characterization,0.3125394223742557,0.1069575201911755,-0.05306991817507377,0.15971918500385288,-0.05563396456456074,0.13967676209825888,0.5530816741244274,-0.051726060011187174,0.08594799233872416,0.5122599767740151,0.1795508346917447,-0.026396344464997935,0.15581037370064493,0.1562725038953656,0.002790293269653891,0.27003266083501437,0.22371955963195703,-0.1497529340051324,0.22371955963195703,1.0,0.31966282801241536,0.009314255199061526,-0.03607500410216384,0.30856771311790454,0.13308570489381405,0.22975162824351764,0.24466596588294592,0.2152863765648696,0.22348904980364917,0.08279337954721357,0.19322237793508115,0.27086640009779733,-0.05563396456456074,0.015438521650930551
componentOf,0.38311688311688313,0.23961980246988987,0.12364438262679081,-0.05603981379114713,0.09618786933709322,0.078923379968897,0.21124449792017974,0.20746922244243737,0.24284456174137137,0.06638562556797428,0.12295235125244726,0.008249898251882336,0.12479667455328418,-0.025876195020098643,0.19863968064915788,0.22177012162219803,-0.00863224468409811,-0.0722040481431843,0.078923379968897,0.31966282801241536,1.0,0.05067421524769317,-0.1384149595593592,0.029582691662949367,0.1552862428461243,0.2803254460510686,0.3023143986229813,0.1867586598209987,0.1384149595593592,0.2803254460510686,0.012059369202226345,-0.14245072057454744,0.00863224468409811,0.052272421923521314
creation,-0.05067421524769317,0.036675356603899464,-0.0292090358935789,0.5471216549024155,-0.10463006543865562,-0.09889691116804436,0.09182185476941945,-0.143011249558461,0.04730472703803727,-0.0931910511097521,-0.09038380720750167,-0.1108019380936429,0.3083532241525255,0.11027568922305764,-0.18019389158354226,0.3257765841418312,0.10463006543865562,-0.18882174200729354,0.10463006543865562,0.009314255199061526,0.05067421524769317,1.0,0.03515830727971361,0.19942225153370335,0.314559428944411,0.37719298245614036,0.3747964689054208,-0.05173031063085132,0.040485323534215675,0.19924812030075187,0.6630774973900276,-0.06464979361865095,0.20066039947139436,0.05374462604418518
derivation,-0.12191516305559454,0.011692907713002625,-0.03575992699260758,0.09882484909656829,0.28027114116210045,-0.10723417574897755,0.059398186106978425,-0.006212473985319655,-0.05630532705768135,-0.08263802036523384,0.3582571901381943,0.15760869565217392,0.03708175453453312,0.1108019380936429,0.010532456549493377,-0.22928865480007152,-0.10723417574897755,0.007644509315459482,-0.02071569304241612,-0.03607500410216384,-0.1384149595593592,0.03515830727971361,1.0,-0.12667316689086178,-0.17207962175970878,-0.19177258516207427,-0.21321359040630639,0.4656778476429741,0.4148550724637681,0.1864455689075722,-0.07333242890562076,0.13406030251828893,0.10723417574897755,0.2463461637268522
externalDependence,0.11044204887501098,-0.041928721174004195,-0.0235086209145584,0.31801528534262613,-0.3224749634814749,-0.049813205741040846,0.34869751710889074,-0.15848383820158332,0.09950837523313996,0.12280705543490461,-0.015639188177407348,-0.011692907713002625,0.3720030846950056,0.036675356603899464,-0.1596537186338599,0.5380608530719719,-0.049813205741040846,-0.1247240215158939,0.13633087887021705,0.30856771311790454,0.029582691662949367,0.19942225153370335,-0.12667316689086178,1.0,0.31009580292580247,0.524916041393311,0.37681226746486535,-0.2866557435679719,-0.011692907713002625,0.1180488040688014,0.23961980246988987,0.2019010511976753,0.049813205741040846,0.12822884135213672
historicalDependence,0.15972299264172787,0.14266765077574944,0.24640348588166783,0.37627026463057217,-0.4364566557112513,0.12238480548660087,0.0564724586384913,-0.044030058614366985,0.1768176265953649,0.0835010724248667,-0.0226176348920291,-0.29483705893860934,0.19930768748231253,0.22302779183353735,-0.12512947149597697,0.4419523950154026,-0.08699642799649941,-0.18037780151448546,0.33176603896970114,0.13308570489381405,0.1552862428461243,0.314559428944411,-0.17207962175970878,0.31009580292580247,1.0,0.4976227031661585,0.5018172906545804,-0.022956906411575266,0.01644072819360275,0.13149615472266363,0.4702954783339765,0.2919924108914283,0.08699642799649941,-0.00961574579050411
instantiation,0.17897701555568227,0.036675356603899464,0.05374462604418518,0.333684086231693,-0.3081570420453556,0.10463006543865562,0.1626843731240801,-0.0688959304442221,0.3831682890081019,0.19139237378454463,-0.1771034060146992,-0.26208919972150146,0.3083532241525255,0.11027568922305764,-0.10023285219334539,0.9188570321949084,0.0028665771353056334,-0.18882174200729354,0.2063935537420056,0.22975162824351764,0.2803254460510686,0.37719298245614036,-0.19177258516207427,0.524916041393311,0.4976227031661585,1.0,0.7661280761449043,-0.19576372454420204,-0.1108019380936429,0.021303258145363407,0.43342626658665223,0.1592592476947255,0.09889691116804436,0.21965194991971335
manifestation,0.11855466612665934,0.018903625458103614,-0.14902690457581697,0.39446072282200906,-0.27422835785230637,0.27422835785230637,0.21290675542536713,-0.07116571245885213,-0.0294755342412503,0.1597676111988584,-0.1598215545317004,-0.11949333088705083,0.19852919901646388,0.17913066528567906,-0.09287756553050773,0.7006932812437731,0.05043280144410232,-0.1631346168837456,0.27422835785230637,0.24466596588294592,0.3023143986229813,0.3747964689054208,-0.21321359040630639,0.37681226746486535,0.5018172906545804,0.7661280761449043,1.0,-0.11822525334688298,-0.11949333088705083,0.0812977634758082,0.47066202452283756,0.2167318694209581,0.0614649767599997,0.3070468120139677
material,-0.0008727040178551341,0.042673670563516855,0.0037828141647121972,-0.004055450151269837,0.25407126691773113,0.15777941689868233,0.12117898049228075,0.10730776676136089,0.06636887120424444,0.05353194199676185,0.28967054282316446,0.024146258766672733,0.0090311986863711,0.16431981023917477,0.049225670843479896,-0.24244249306207757,0.07540928013539965,-0.14434648665890407,0.15777941689868233,0.2152863765648696,0.1867586598209987,-0.05173031063085132,0.4656778476429741,-0.2866557435679719,-0.022956906411575266,-0.19576372454420204,-0.11822525334688298,1.0,0.3915143385739079,0.23633651719585014,-0.061089281249859385,0.06636887120424444,-0.15777941689868233,0.1380727170119952
