Percentage,Top k Constructs,Coverage
10.0,1,0.19047619047619047
20.0,3,0.5238095238095238
30.0,5,0.7738095238095238
40.0,7,0.9285714285714286
50.0,9,0.9761904761904762
60.0,11,1.0
70.0,13,1.0
80.0,15,1.0
90.0,17,1.0
100.0,19,1.0
