Construct,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
material,16,1,16,19.047619047619047
mediation,15,2,31,36.904761904761905
componentOf,13,3,44,52.38095238095239
characterization,11,4,55,65.47619047619048
memberOf,10,5,65,77.38095238095238
derivation,9,6,74,88.09523809523809
subCollectionOf,4,7,78,92.85714285714286
subQuantityOf,2,8,80,95.23809523809523
externalDependence,2,9,82,97.61904761904762
participation,1,10,83,98.80952380952381
comparative,1,11,84,100.0
bringsAbout,0,12,84,100.0
instantiation,0,13,84,100.0
historicalDependence,0,14,84,100.0
creation,0,15,84,100.0
manifestation,0,16,84,100.0
participational,0,17,84,100.0
termination,0,18,84,100.0
triggers,0,19,84,100.0
