Percentage,Top k Constructs,Coverage
10.0,1,0.5543478260869565
20.0,3,0.8118729096989966
30.0,5,0.9322742474916388
40.0,7,0.9874581939799331
50.0,9,0.9970735785953178
60.0,11,1.0
70.0,13,1.0
80.0,15,1.0
90.0,17,1.0
100.0,19,1.0
