model,year,is_classroom
abel2015petroleum-system,2015,False
abrahao2018agriculture-operations,2018,False
aguiar2018rdbs-o,2018,False
aguiar2019ooco,2019,False
aires2022valuenetworks-geo,2022,False
albuquerque2011ontobio,2016,False
alkhalaf2024,2023,False
alpinebits2022,2022,False
amaral2019rot,2022,False
amaral2020game-theory,2021,False
amaral2020rome,2020,False
amaral2022ethical-requirements,2022,False
andersson2018value-ascription,2018,False
andrade2023integracao,2023,False
aristotle-ontology2019,2021,False
bank-account2013,2013,True
bank-model,2013,True
barcelos2013normative-acts,2013,False
barcelos2015transport-networks,2015,False
barcelos2024resiliont,2024,False
barros2020programming,2020,False
bernasconi2021ontovcm,2022,False
bernasconi2023fair-principles,2023,False
blums2024ccf,2024,False
brazilian-governmental-organizational-structures,2011,False
buchtela2020connection,2020,False
buridan-ontology2021,2021,False
carolla2014campus-management,2014,False
castro2012cloudvulnerability,2012,False
cgts2021sebim,2021,False
chartered-service,2013,True
clergy-ontology,2013,True
cmpo2017,2017,False
construction-model,2013,True
core-o2023,2023,False
dcat-mlt-ufo2023,2022,False
demori2023miscon,2023,False
derave2019dpo,2022,False
digitaldoctor2022,2022,True
dpo2017,2017,False
duarte2020jogabilidade,2020,False
elghosh2020cargos,2020,False
elghosh2024eucaim,2024,False
elikan2018brand-identity,2019,False
eu-rent-refactored2022,2022,False
experiment2013,2013,True
falduci2022non-consensual-pornography,2022,False
fernandez-cejas2022curie-o,2022,False
ferreira2015ontoemergeplan,2015,False
fischer2018ontorea,2019,False
fonseca2022incorporating,2022,False
formula-one2023,2023,False
fraller2019abc,2019,False
franco2018rpg,2018,False
freshbz2023,2023,True
fumagalli2022criminal-investigation,2022,False
g809-2015,2013,True
gailly2016value,2016,False
garcia2022human-genome-events,2022,False
genealogy2013,2013,True
gi2mo,2013,True
gomes2022digital-technology,2022,False
goncalves2011ecg,2022,False
grueau2013towards,2014,False
guarino2016value,2016,False
guarino2018rea,2018,False
guizzardi2005ontological,2005,False
guizzardi2020decision-making,2020,False
guizzardi2022ufo,2021,False
haridy2021egyptian-e-government,2021,False
health-organizations,2013,True
heirbrant2023boekbazaar,2023,False
idaf2013,2013,True
internal-affairs2013,2013,True
internship,2013,True
it-infrastructure,2013,True
jacobs2022sdpontology,2022,False
junior2018o4c,2018,False
khantong2020ontology,2020,False
kostov2017towards,2017,False
kritz2020ontobg,2020,False
laurier2018rea,2018,False
library,2013,True
lindeberg2022full-ontorights,2023,False
lindeberg2022simple-ontorights,2023,False
machacova2023gym,2023,False
maddalena2021ontocovid,2021,False
martinez2013human-genome,2013,False
meirelles2024credit-operations,2024,False
mgic-antt2011,2015,False
moreira2018saref4health,2020,False
music-ontology,2013,True
nardi2015ufo-s,2016,False
nascimento2023spacecon,2023,False
neves2020nwpontology,2020,False
neves2021grain-production,2021,False
niederkofler2019dssapple,2019,False
o3ontology2015,2015,False
oliveira2007collaboration,2007,False
oliveira2022rose,2022,False
online-mentoring,2013,True
parking-business2013,2013,True
pereira2015doacao-orgaos,2015,False
pereira2020ontotrans,2020,False
photography,2013,True
piest2024dsr-kb,2024,False
pinheiro2024api,2024,False
plato-ontology2019,2021,False
porello2020coex,2021,False
ppo-o2021,2021,False
project-assets2013,2013,True
project-management-ontology,2013,True
public-expense-ontology2020,2020,False
public-organization2013,2013,True
public-tender,2013,True
qam,2013,True
quality-assurance-process-ontology2017,2017,False
ramirez2015userfeedback,2015,False
ramos2021bias,2021,False
real-estate-ontology,2013,True
recommendation-ontology,2013,True
repa2021public-administration,2021,False
road-accident2013,2013,True
rocha2023ciencia-aberta,2023,False
rodrigues2017urinary-profiles,2017,False
rodrigues2019ontocrime,2020,False
rodrigues2019turbidite,2019,False
romanenko2023what,2023,False
sales2018competition,2018,False
sales2018cover,2018,False
santos2020valuenetworks,2020,False
sariev2024maritime,2024,False
schoonderbeek2024eamon,2024,False
scientific-experiment2013,2013,True
scientific-publication2013,2013,True
services2015,2015,False
short-examples2013,2013,True
sikora2021online-education,2021,False
silva2012itarchitecture,2012,False
silva2021sebim,2023,False
silva2023onto4caal,2023,False
silva2023onto4elev,2023,False
silveira2021oap,2021,False
social-contract,2013,True
social-contracts2013,2013,True
sousa2022triponto,2022,True
spmo2017,2018,False
spo2017,2017,False
sportbooking2021,2021,True
srro-ontology,2013,True
stock-broker2021,2013,True
telecom-equipment2013,2013,True
tender2013,2013,True
tesolin2023hint,2023,False
tourbo2021,2021,True
unimatch-ontology2022,2023,True
university-ontology,2013,True
valaski2020medical-appointment,2020,False
van-ee2021modular,2021,False
van-wingerde2020smart-contracts,2020,False
vieira2020weathering,2020,False
weigand2021artifact,2021,False
xhani2023xmlpo,2024,False
zanetti2019orm-o,2019,False
zhou2017hazard-ontology-robotic-strolling,2017,False
zhou2017hazard-ontology-train-control,2017,False
