Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,none,other
category,1.0,0.13792621754620035,0.07688905660876631,0.2723563872636615,0.3041150358351907,0.4107981475226449,0.14992741837125875,-0.014543917754698401,-0.0011699395401689719,0.2647186950258505,-0.03058565502148561,0.5716697747086742,-0.23127895323443495,-0.030003064052973098
collective,0.13792621754620035,1.0,-0.29144899230578075,0.1353136397957936,0.3670509295360217,0.09995386886508824,0.013456243499616728,-0.09905331639419108,-0.10717158701431787,-0.05869201093291453,-0.22483295725209348,0.09756111643298218,-0.2246265937783655,-0.15018539094595745
event,0.07688905660876631,-0.29144899230578075,1.0,-0.3928644582117605,0.1351496344457591,-0.008171992558862995,0.07658271467078105,-0.4473158784668012,-0.016450423484138974,0.3565544523474991,0.44458820129491755,0.07023722575263718,0.4392882832324401,0.265895373643946
kind,0.2723563872636615,0.1353136397957936,-0.3928644582117605,1.0,-0.019055590930184253,0.02477976589073647,-0.3462435712118665,0.1569782911135296,0.4181363897286609,-0.44324405556508784,-0.34904604660395355,0.46609229270702757,-0.24900547269521514,-0.15251641200636207
mode,0.3041150358351907,0.3670509295360217,0.1351496344457591,-0.019055590930184253,1.0,0.24286163099512437,-0.11772921539039854,-0.005210178118524003,0.03031905345570988,0.4377658168096019,-0.11519177042968581,0.1517515556397332,0.041787193597952854,-0.005266412251884642
phase,0.4107981475226449,0.09995386886508824,-0.008171992558862995,0.02477976589073647,0.24286163099512437,1.0,0.017091075731200795,-0.010195974450841975,0.3007799371681503,0.28069242096290903,-0.008948366775453085,0.2025401635560019,0.004257215950171626,-0.08544813048192361
quality,0.14992741837125875,0.013456243499616728,0.07658271467078105,-0.3462435712118665,-0.11772921539039854,0.017091075731200795,1.0,0.04000661275149336,-0.10393490659510501,0.32008556047133585,0.3878415923257102,-0.07745266783249591,-0.16145233790913777,-0.21469605794449442
relator,-0.014543917754698401,-0.09905331639419108,-0.4473158784668012,0.1569782911135296,-0.005210178118524003,-0.010195974450841975,0.04000661275149336,1.0,0.3250604914176292,0.17758985200845667,-0.07340752721510656,-0.17318976901956046,-0.42816395227350323,-0.1627493975694246
role,-0.0011699395401689719,-0.10717158701431787,-0.016450423484138974,0.4181363897286609,0.03031905345570988,0.3007799371681503,-0.10393490659510501,0.3250604914176292,1.0,-0.03582042930098548,-0.097122314746032,-0.034616532972262276,0.08329924508203465,-0.13399554875283268
roleMixin,0.2647186950258505,-0.05869201093291453,0.3565544523474991,-0.44324405556508784,0.4377658168096019,0.28069242096290903,0.32008556047133585,0.17758985200845667,-0.03582042930098548,1.0,0.11017073011595141,0.08293106985145417,-0.07479507599008006,-0.16531587783435567
situation,-0.03058565502148561,-0.22483295725209348,0.44458820129491755,-0.34904604660395355,-0.11519177042968581,-0.008948366775453085,0.3878415923257102,-0.07340752721510656,-0.097122314746032,0.11017073011595141,1.0,-0.1912260068268795,-0.18365480654058966,0.3846472123506609
subkind,0.5716697747086742,0.09756111643298218,0.07023722575263718,0.46609229270702757,0.1517515556397332,0.2025401635560019,-0.07745266783249591,-0.17318976901956046,-0.034616532972262276,0.08293106985145417,-0.1912260068268795,1.0,-0.01366768665691982,-0.2628709516023079
none,-0.23127895323443495,-0.2246265937783655,0.4392882832324401,-0.24900547269521514,0.041787193597952854,0.004257215950171626,-0.16145233790913777,-0.42816395227350323,0.08329924508203465,-0.07479507599008006,-0.18365480654058966,-0.01366768665691982,1.0,0.1566913700230622
other,-0.030003064052973098,-0.15018539094595745,0.265895373643946,-0.15251641200636207,-0.005266412251884642,-0.08544813048192361,-0.21469605794449442,-0.1627493975694246,-0.13399554875283268,-0.16531587783435567,0.3846472123506609,-0.2628709516023079,0.1566913700230622,1.0
