Stereotype,average_quantity,rank,proportion
abstract,0,13,0.0
category,8,6,0.05263157894736842
collective,1,11,0.006578947368421052
datatype,0,13,0.0
enumeration,0,13,0.0
event,4,8,0.02631578947368421
historicalRole,0,13,0.0
historicalRoleMixin,0,13,0.0
kind,18,4,0.11842105263157894
mixin,1,11,0.006578947368421052
mode,7,7,0.046052631578947366
phase,3,9,0.019736842105263157
phaseMixin,0,13,0.0
quality,0,13,0.0
quantity,0,13,0.0
relator,24,3,0.15789473684210525
role,47,1,0.3092105263157895
roleMixin,9,5,0.05921052631578947
situation,0,13,0.0
subkind,27,2,0.17763157894736842
type,3,9,0.019736842105263157
