Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,29,1,29,11.507936507936508
relator,28,2,57,22.61904761904762
subkind,27,3,84,33.33333333333333
category,27,4,111,44.047619047619044
role,26,5,137,54.36507936507936
roleMixin,19,6,156,61.904761904761905
mode,17,7,173,68.65079365079364
event,16,8,189,75.0
collective,12,9,201,79.76190476190477
phase,9,10,210,83.33333333333334
mixin,9,11,219,86.90476190476191
type,8,12,227,90.07936507936508
datatype,6,13,233,92.46031746031747
situation,6,14,239,94.84126984126983
quantity,5,15,244,96.82539682539682
quality,4,16,248,98.4126984126984
enumeration,4,17,252,100.0
abstract,0,18,252,100.0
phaseMixin,0,19,252,100.0
historicalRole,0,20,252,100.0
historicalRoleMixin,0,21,252,100.0
