stereotype,total_correlation,rank
category,2.9975286299975044,7
collective,2.8108352605034774,12
datatype,2.8742518648591986,10
enumeration,1.6076427163246465,17
event,3.085142457749437,5
kind,2.9512252700950783,8
mixin,4.18782362514863,1
mode,3.7771058021694444,2
phase,3.063470701125275,6
quality,2.4314399339161246,14
quantity,3.5525981285496275,3
relator,1.8383287422467522,16
role,2.4067880459913344,15
roleMixin,2.9482040044608393,9
situation,2.672898371893515,13
subkind,2.862432483078833,11
type,3.3974545973665613,4
