Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
abstract,,,,,,,,,,,,,,,,,,,,,
category,,1.0,0.3496713815169112,0.12906161632983104,-0.08556333059731962,0.07079427191090967,,,0.4928158986789492,0.46432979075519515,0.513898728614516,0.43605753803643454,,0.015663767615069955,0.2261351930064696,0.342430066418022,0.3556892255754004,0.47908579154525627,-0.021934724099341114,0.6259060860254935,0.5283375529707313
collective,,0.3496713815169112,1.0,0.3554683101744733,0.026872804823331656,-0.36286048530199955,,,0.29690951649271463,0.3419935357665053,0.41100370833289435,0.17502255380498707,,-0.046673818903681295,0.2817609249649596,0.2025767017772254,0.13824555656963047,0.15114267816841437,-0.15696388654615723,0.24258233972889012,0.24560117202261514
datatype,,0.12906161632983104,0.3554683101744733,1.0,0.0771781997358105,-0.027864758090878766,,,0.2122501728611877,0.43142691504844316,0.1910281498072322,-0.04644049316197851,,0.06615274263069472,0.43159590281877375,-0.08631444832560067,0.0965120219634997,-0.12937970589507958,0.20881521459778976,0.2135368432573963,0.1485745179832402
enumeration,,-0.08556333059731962,0.026872804823331656,0.0771781997358105,1.0,-0.1310972161340844,,,0.1487262148881712,0.2514564602142214,0.17744414750591977,0.07422292797608297,,0.1635036496350365,0.4410339990446159,0.1112348872184181,0.12432486312599039,0.06287057457369553,0.11392972341952978,0.09144684971905326,0.07027583480325966
event,,0.07079427191090967,-0.36286048530199955,-0.027864758090878766,-0.1310972161340844,1.0,,,-0.2877227968606011,0.04095034584790406,0.14966432071743554,-0.0413890974052972,,0.06037371795648624,-0.02071992786674678,-0.37496993161650966,0.027804841685207218,0.28823202949406895,0.40530557223096386,0.018394561770408553,0.3105875689125798
historicalRole,,,,,,,,,,,,,,,,,,,,,
historicalRoleMixin,,,,,,,,,,,,,,,,,,,,,
kind,,0.4928158986789492,0.29690951649271463,0.2122501728611877,0.1487262148881712,-0.2877227968606011,,,1.0,0.17114933410519578,0.23596875678450502,0.17778228588137365,,-0.35849822255397085,0.171134591931298,0.3658493455191798,0.5545199896369416,-0.02462226641525738,-0.298226991537472,0.5700575310280869,0.2346242946869214
mixin,,0.46432979075519515,0.3419935357665053,0.43142691504844316,0.2514564602142214,0.04095034584790406,,,0.17114933410519578,1.0,0.46600070071723915,0.4533284453921733,,0.3309323362404779,0.5502888114251351,0.30703767582244423,0.48828006677082064,0.2843912143499144,0.0917301524900263,0.2532656282484623,0.5602935367525601
