Stereotype,category,collective,event,kind,mixin,mode,phase,relator,role,roleMixin,subkind,type
category,1.0,0.24967995792281178,0.05849636774957285,0.16014943278495886,0.3180499060624783,0.4790806957791458,0.3904835115254531,0.06660427887080765,0.14851467627035883,0.4347007131955777,0.5465630174054658,0.4167337366103182
collective,0.24967995792281178,1.0,0.36565092828568685,0.17847950857674053,0.31119774851845705,0.4076348739004326,0.16080123184051232,0.16627311612559145,0.10779779702674269,0.0,0.11668805135304544,0.22149984136773596
event,0.05849636774957285,0.36565092828568685,1.0,0.3596486385426777,0.028118698790246435,0.16199683688967492,0.07187075568344871,0.37301347086683695,0.04226752988631614,0.29524616345083726,0.025825633671973092,0.255162600953875
kind,0.16014943278495886,0.17847950857674053,0.3596486385426777,1.0,0.05525343900868911,0.02675831152482431,0.16386145478601138,0.13316370096240032,0.4743589690829171,0.09896075422818702,0.3253766020063766,0.060229730988346136
mixin,0.3180499060624783,0.31119774851845705,0.028118698790246435,0.05525343900868911,1.0,0.41371026209347045,0.4333771941731185,0.12481421283308182,0.4278461719077848,0.2271225583986541,0.1421210932176908,0.5135263531412998
mode,0.4790806957791458,0.4076348739004326,0.16199683688967492,0.02675831152482431,0.41371026209347045,1.0,0.22772218339158917,0.20536248209671654,0.10608015709624735,0.49114511850131853,0.27672511704984154,0.3854625176931355
phase,0.3904835115254531,0.16080123184051232,0.07187075568344871,0.16386145478601138,0.4333771941731185,0.22772218339158917,1.0,0.0971126005833384,0.3143881188651824,0.34494902162593405,0.3568408491984646,0.1731261112797565
relator,0.06660427887080765,0.16627311612559145,0.37301347086683695,0.13316370096240032,0.12481421283308182,0.20536248209671654,0.0971126005833384,1.0,0.2325297683581272,0.30471325909625496,0.11095832647160794,0.21454768885027364
role,0.14851467627035883,0.10779779702674269,0.04226752988631614,0.4743589690829171,0.4278461719077848,0.10608015709624735,0.3143881188651824,0.2325297683581272,1.0,0.0,0.1316566761004268,0.3003038067061338
roleMixin,0.4347007131955777,0.0,0.29524616345083726,0.09896075422818702,0.2271225583986541,0.49114511850131853,0.34494902162593405,0.30471325909625496,0.0,1.0,0.1760006510152873,0.3365156095578573
subkind,0.5465630174054658,0.11668805135304544,0.025825633671973092,0.3253766020063766,0.1421210932176908,0.27672511704984154,0.3568408491984646,0.11095832647160794,0.1316566761004268,0.1760006510152873,1.0,0.3256823076561158
type,0.4167337366103182,0.22149984136773596,0.255162600953875,0.060229730988346136,0.5135263531412998,0.3854625176931355,0.1731261112797565,0.21454768885027364,0.3003038067061338,0.3365156095578573,0.3256823076561158,1.0
