stereotype,total_correlation,rank
characterization,1.6711971091134292,4
componentOf,1.0612423860795874,8
derivation,2.048235117558481,1
material,1.3949481103059074,6
mediation,1.7004853405521034,3
memberOf,1.4128358337718367,5
none,1.207519453381039,7
other,1.809149315902478,2
