Stereotype,average_quantity,rank,proportion
abstract,0,9,0.0
category,2,4,0.07142857142857142
collective,0,9,0.0
datatype,0,9,0.0
enumeration,0,9,0.0
event,3,3,0.10714285714285714
historicalRole,0,9,0.0
historicalRoleMixin,0,9,0.0
kind,13,1,0.4642857142857143
mixin,0,9,0.0
mode,1,7,0.03571428571428571
phase,0,9,0.0
phaseMixin,0,9,0.0
quality,0,9,0.0
quantity,0,9,0.0
relator,2,4,0.07142857142857142
role,2,4,0.07142857142857142
roleMixin,1,7,0.03571428571428571
situation,0,9,0.0
subkind,4,2,0.14285714285714285
type,0,9,0.0
