Stereotype,characterization,componentOf,derivation,material,mediation,memberOf,none,other
characterization,1.0,0.13610644614970624,0.14432333859111413,0.12537926787487616,0.5943509184543871,0.15436237978780595,0.14745910498927514,0.3822154232000358
componentOf,0.13610644614970624,1.0,0.21109893072060257,0.15873142618979322,0.03753945910385266,0.2230800149535755,0.25995137173392374,0.07762425823379492
derivation,0.14432333859111413,0.21109893072060257,1.0,0.6433905033165364,0.3592540730923385,0.15484384895482584,0.04245667984916338,0.4666826340761234
material,0.12537926787487616,0.15873142618979322,0.6433905033165364,1.0,0.16548673301351713,0.062229661861206105,0.07670311507814641,0.22874202513119993
mediation,0.5943509184543871,0.03753945910385266,0.3592540730923385,0.16548673301351713,1.0,0.14700126517149276,0.20912475863427316,0.3066053484317403
memberOf,0.15436237978780595,0.2230800149535755,0.15484384895482584,0.062229661861206105,0.14700126517149276,1.0,0.4359980634403471,0.15748193887810719
none,0.14745910498927514,0.25995137173392374,0.04245667984916338,0.07670311507814641,0.20912475863427316,0.4359980634403471,1.0,0.2584845245890011
other,0.3822154232000358,0.07762425823379492,0.4666826340761234,0.22874202513119993,0.3066053484317403,0.15748193887810719,0.2584845245890011,1.0
