Stereotype,characterization,componentOf,derivation,material,mediation,memberOf,none,other
characterization,1.0,0.12727272727272726,0.19432508268938872,-0.1044465935734187,0.5826364566706337,0.19432508268938872,0.1044465935734187,0.36374457264445326
componentOf,0.12727272727272726,1.0,0.19432508268938872,0.17407765595569785,0.04222003309207491,0.19432508268938872,-0.26691907246540336,-0.06210273191490665
derivation,0.19432508268938872,0.19432508268938872,1.0,0.6201736729460423,0.3509664885977756,0.1794871794871795,-0.013781637176578718,0.49517597397212765
material,-0.1044465935734187,0.17407765595569785,0.6201736729460423,1.0,0.17785945835997752,-0.041344911529736156,-0.022222222222222223,0.2548235957188128
mediation,0.5826364566706337,0.04222003309207491,0.3509664885977756,0.17785945835997752,1.0,0.1905246652387925,-0.11318329168362205,0.24309494690922778
memberOf,0.19432508268938872,0.19432508268938872,0.1794871794871795,-0.041344911529736156,0.1905246652387925,1.0,-0.4547940268270977,0.1580348853102535
none,0.1044465935734187,-0.26691907246540336,-0.013781637176578718,-0.022222222222222223,-0.11318329168362205,-0.4547940268270977,1.0,-0.2321726094326961
other,0.36374457264445326,-0.06210273191490665,0.49517597397212765,0.2548235957188128,0.24309494690922778,0.1580348853102535,-0.2321726094326961,1.0
