Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,151,1.2479338842975207,30,0.24793388429752067,0.0001880431926496282,0.003923620193565263
abstractNature,0,0.0,0,0.0,0.0,0.0
aggregationKind,19346,159.88429752066116,120,0.9917355371900827,0.024091944403971572,0.01569448077426105
AggregationKind,0,0.0,0,0.0,0.0,0.0
attribute,1762,14.561983471074381,43,0.35537190082644626,0.002194252353964536,0.005623855610776877
begin,0,0.0,0,0.0,0.0,0.0
bringsAbout,30,0.24793388429752067,12,0.09917355371900827,3.7359574698601634e-05,0.0015694480774261052
cardinality,16983,140.35537190082644,120,0.9917355371900827,0.021149255236878384,0.01569448077426105
Cardinality,16983,140.35537190082644,120,0.9917355371900827,0.021149255236878384,0.01569448077426105
cardinalityValue,16983,140.35537190082644,120,0.9917355371900827,0.021149255236878384,0.01569448077426105
categorizer,3,0.024793388429752067,2,0.01652892561983471,3.7359574698601633e-06,0.0002615746795710175
category,588,4.859504132231405,86,0.7107438016528925,0.000732247664092592,0.011247711221553753
characterization,561,4.636363636363637,68,0.5619834710743802,0.0006986240468638505,0.008893539105414596
Class,12181,100.6694214876033,121,1.0,0.015169232646788882,0.01582526811404656
Classifier,0,0.0,0,0.0,0.0,0.0
ClassStereotype,0,0.0,0,0.0,0.0,0.0
ClassView,7715,63.760330578512395,100,0.8264462809917356,0.00960763729332372,0.013078733978550876
collective,503,4.1570247933884295,44,0.36363636363636365,0.0006263955357798873,0.005754642950562386
collectiveNature,0,0.0,0,0.0,0.0,0.0
comparative,37,0.30578512396694213,6,0.049586776859504134,4.6076808794942014e-05,0.0007847240387130526
componentOf,573,4.735537190082645,45,0.371900826446281,0.0007135678767432912,0.005885430290347895
composite,947,7.8264462809917354,72,0.5950413223140496,0.0011793172413191914,0.00941668846455663
ConnectorView,0,0.0,0,0.0,0.0,0.0
containsModelElement,30777,254.35537190082644,121,1.0,0.03832718768329541,0.01582526811404656
containsView,39250,324.3801652892562,120,0.9917355371900827,0.048878776897337134,0.01569448077426105
creation,61,0.5041322314049587,18,0.1487603305785124,7.596446855382331e-05,0.0023541721161391576
datatype,88,0.7272727272727273,26,0.21487603305785125,0.00010958808578256479,0.0034004708344232276
DecoratableElement,0,0.0,0,0.0,0.0,0.0
derivation,228,1.884297520661157,39,0.32231404958677684,0.0002839327677093724,0.005100706251634841
description,1953,16.140495867768596,21,0.17355371900826447,0.0024321083128789663,0.002746534135495684
diagram,1242,10.264462809917354,120,0.9917355371900827,0.0015466863925221075,0.01569448077426105
Diagram,1242,10.264462809917354,120,0.9917355371900827,0.0015466863925221075,0.01569448077426105
DiagramElement,0,0.0,0,0.0,0.0,0.0
ElementView,0,0.0,0,0.0,0.0,0.0
end,0,0.0,0,0.0,0.0,0.0
enumeration,65,0.5371900826446281,8,0.06611570247933884,8.094574518030354e-05,0.00104629871828407
event,951,7.859504132231405,54,0.4462809917355372,0.0011842985179456717,0.007062516348417473
eventNature,0,0.0,0,0.0,0.0,0.0
externalDependence,77,0.6363636363636364,22,0.18181818181818182,9.588957505974418e-05,0.002877321475281193
extrinsicModeNature,0,0.0,0,0.0,0.0,0.0
functionalComplexNature,0,0.0,0,0.0,0.0,0.0
general,8582,70.92561983471074,117,0.9669421487603306,0.010687329002113307,0.015302118754904526
generalization,1476,12.198347107438016,72,0.5950413223140496,0.0018380910751712002,0.00941668846455663
Generalization,8582,70.92561983471074,117,0.9669421487603306,0.010687329002113307,0.015302118754904526
GeneralizationSet,557,4.603305785123967,72,0.5950413223140496,0.0006936427702373703,0.00941668846455663
GeneralizationSetView,0,0.0,0,0.0,0.0,0.0
GeneralizationView,4505,37.231404958677686,96,0.7933884297520661,0.005610162800573345,0.012555584619408842
height,8288,68.49586776859505,100,0.8264462809917356,0.01032120517006701,0.013078733978550876
historicalDependence,44,0.36363636363636365,16,0.1322314049586777,5.4794042891282395e-05,0.00209259743656814
historicalRole,23,0.19008264462809918,4,0.03305785123966942,2.864234060226125e-05,0.000523149359142035
historicalRoleMixin,9,0.0743801652892562,3,0.024793388429752067,1.120787240958049e-05,0.0003923620193565263
instantiation,69,0.5702479338842975,17,0.14049586776859505,8.592702180678375e-05,0.002223384776353649
intrinsicModeNature,0,0.0,0,0.0,0.0,0.0
isAbstract,12181,100.6694214876033,121,1.0,0.015169232646788882,0.01582526811404656
isComplete,557,4.603305785123967,72,0.5950413223140496,0.0006936427702373703,0.00941668846455663
isDerived,40319,333.21487603305786,121,1.0,0.05021002307576397,0.01582526811404656
isDisjoint,557,4.603305785123967,72,0.5950413223140496,0.0006936427702373703,0.00941668846455663
isExtensional,12181,100.6694214876033,121,1.0,0.015169232646788882,0.01582526811404656
isOrdered,19346,159.88429752066116,120,0.9917355371900827,0.024091944403971572,0.01569448077426105
isPowertype,12181,100.6694214876033,121,1.0,0.015169232646788882,0.01582526811404656
isReadOnly,19346,159.88429752066116,120,0.9917355371900827,0.024091944403971572,0.01569448077426105
isViewOf,12237,101.13223140495867,100,0.8264462809917356,0.015238970519559605,0.013078733978550876
kind,1598,13.206611570247935,101,0.8347107438016529,0.0019900200122788467,0.013209521318336385
literal,215,1.7768595041322315,8,0.06611570247933884,0.00026774361867331167,0.00104629871828407
Literal,215,1.7768595041322315,8,0.06611570247933884,0.00026774361867331167,0.00104629871828407
lowerBound,12934,106.89256198347107,112,0.9256198347107438,0.016106957971723783,0.014648182055976981
manifestation,34,0.2809917355371901,12,0.09917355371900827,4.2340851325081846e-05,0.0015694480774261052
material,636,5.256198347107438,54,0.4462809917355372,0.0007920229836103546,0.007062516348417473
mediation,2021,16.702479338842974,77,0.6363636363636364,0.0025167900155291297,0.010070625163484176
memberOf,203,1.677685950413223,31,0.256198347107438,0.00025279978879387104,0.004054407533350772
mixin,84,0.6942148760330579,22,0.18181818181818182,0.00010460680915608456,0.002877321475281193
mode,545,4.5041322314049586,58,0.4793388429752066,0.0006786989403579296,0.0075856657075595085
model.1,121,1.0,121,1.0,0.0001506836179510266,0.01582526811404656
