Percentage,Top k Constructs,Coverage
10.0,14,0.5365370413956541
20.0,28,0.7901724393436171
30.0,42,0.9445372207216126
40.0,56,0.9848071062892353
50.0,70,0.9953885831630359
60.0,84,0.9991768440374742
70.0,98,0.9999315074463859
80.0,112,1.0
90.0,126,1.0
