stereotype,total_correlation,rank
category,5.899833351544984,2
event,4.353579731375746,16
kind,4.982671853810814,11
mode,5.667055610856986,5
phase,4.474666458445797,14
relator,4.961101327834418,12
role,4.400630830970907,15
roleMixin,4.71657946567201,13
subkind,4.254962047508816,17
type,5.3499780479072125,10
none_c,3.072036609854725,19
characterization,5.645028602568462,6
componentOf,5.6078415767324925,8
derivation,5.633550752402922,7
material,5.898940926305949,3
mediation,6.4583412211467355,1
memberOf,5.784481036111885,4
none_r,4.117576781359034,18
other_r,5.368820972169951,9
