Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4951838425686173,4,0.27230046948356806
20.0,8,0.7180735370274469,8,0.49061032863849763
30.0,13,0.8719834282755049,13,0.687793427230047
40.0,17,0.9347488348006214,17,0.8028169014084507
50.0,22,0.981874676333506,22,0.9014084507042254
60.0,26,0.9916105644743656,26,0.9507042253521126
70.0,30,0.9970999482133609,30,0.9812206572769953
80.0,35,0.9995857068876229,35,0.9953051643192489
90.0,39,1.0,39,1.0
100.0,44,1.0,44,1.0
