stereotype,total_correlation,rank
category,6.700515289406689,2
event,3.5156404633455827,18
kind,5.042353932218534,13
mode,5.532581802339871,7
phase,4.196781160938255,16
relator,6.142429742133625,3
role,5.261685490948123,11
roleMixin,5.350526310968041,10
subkind,4.216841860891893,15
type,5.453505567619374,8
none_c,2.63694103942739,19
characterization,4.745696218263336,14
componentOf,5.900428198755826,5
derivation,5.448001403743481,9
material,6.093410901537653,4
mediation,7.291964915181914,1
memberOf,5.242401800013375,12
none_r,3.5992553531395286,17
other_r,5.573864605387726,6
