Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,14.966338684619368
mediation,1342,2,2787,28.865872604867942
subkind,1059,3,3846,39.8342827550492
relator,935,4,4781,49.51838425686173
none_r,732,5,5513,57.09994821336095
kind,708,6,6221,64.43293630243397
other_r,370,7,6591,68.26514759192128
roleMixin,342,8,6933,71.80735370274469
componentOf,328,9,7261,75.20455722423614
category,312,10,7573,78.4360435007768
material,312,11,7885,81.66752977731745
mode,296,12,8181,84.73329880890729
none_c,238,13,8419,87.19834282755049
characterization,176,14,8595,89.02123252200931
event,154,15,8749,90.6162610046608
type,139,16,8888,92.05592957017089
phase,137,17,9025,93.47488348006215
memberOf,134,18,9159,94.86276540652511
derivation,119,19,9278,96.09528741584671
collective,70,20,9348,96.82030036250647
mixin,68,21,9416,97.52459865354739
other_c,64,22,9480,98.1874676333506
quantity,33,23,9513,98.52925945106162
enumeration,25,24,9538,98.78819264629726
subCollectionOf,19,25,9557,98.98498187467634
situation,17,26,9574,99.16105644743655
comparative,15,27,9589,99.31641636457795
participation,15,28,9604,99.47177628171931
quality,13,29,9617,99.60642154324184
externalDependence,10,30,9627,99.7099948213361
datatype,10,31,9637,99.81356809943036
historicalDependence,5,32,9642,99.86535473847748
subQuantityOf,3,33,9645,99.89642672190575
manifestation,3,34,9648,99.92749870533403
bringsAbout,3,35,9651,99.9585706887623
instantiation,2,36,9653,99.97928534438115
triggers,2,37,9655,100.0
historicalRole,0,38,9655,100.0
abstract,0,39,9655,100.0
historicalRoleMixin,0,40,9655,100.0
creation,0,41,9655,100.0
phaseMixin,0,42,9655,100.0
participational,0,43,9655,100.0
termination,0,44,9655,100.0
