Stereotype,category,event,kind,mode,phase,quality,relator,role,subkind,type,characterization,derivation,formal,material,mediation,participation
category,1.0,0.11133580974892195,0.0414484888601659,0.3757992544456154,0.05838512061495696,0.19259017991578972,0.010656213637849602,0.046513949519857545,0.29933898639485945,0.32264464153912326,0.36514225267924877,0.009916221395048613,0.012877081730995315,0.14886886846730948,0.094436601319251,0.12869847301258655
event,0.11133580974892195,1.0,0.2127274958649065,0.19542930601779265,0.10405293912354782,0.10559775812557068,0.044310288898382774,0.003948132772989974,0.00792519372040046,0.3096764976927816,0.20754141815519825,0.013218879493124744,0.02342648028732848,0.020010749757363937,0.03416825663976446,0.6226191675016144
kind,0.0414484888601659,0.2127274958649065,1.0,0.10761152980407827,0.27086995518800006,0.09738567209492428,0.23253862070664985,0.4369055945890265,0.4880526993154439,0.1364862873499991,0.027095851626725447,0.2621206873509797,0.016767214953863213,0.36672207689704517,0.2522524192239748,0.17616612830818687
mode,0.3757992544456154,0.19542930601779265,0.10761152980407827,1.0,0.14103607786144962,0.19982342161738934,0.16181174047262598,0.1954840707214241,0.22325858760886122,0.301994059195616,0.5470117181321975,0.06771442516892134,0.04885901407779089,0.17531178636728187,0.2610592355849,0.09593981367274866
phase,0.05838512061495696,0.10405293912354782,0.27086995518800006,0.14103607786144962,1.0,0.11589737226181676,0.20043602869912214,0.32915356412422364,0.34907974429433436,0.0411341073343744,0.10671414280198525,0.18451022722721178,0.06927304363660525,0.18729756032650058,0.30054657064757595,0.06768778361749107
quality,0.19259017991578972,0.10559775812557068,0.09738567209492428,0.19982342161738934,0.11589737226181676,1.0,0.1390559860789165,0.10654237956539395,0.1713708572318076,0.1424917089742061,0.5279711309353697,0.056565744729642105,0.1505646318647897,0.01801706875985267,0.12822411214949475,0.26009994452838514
relator,0.010656213637849602,0.044310288898382774,0.23253862070664985,0.16181174047262598,0.20043602869912214,0.1390559860789165,1.0,0.27465966834294203,0.13892957821775892,0.0320303319910623,0.2965452327791882,0.3669235593094919,0.13246680195158672,0.33058834545136095,0.7460537648411351,0.0482881056326722
role,0.046513949519857545,0.003948132772989974,0.4369055945890265,0.1954840707214241,0.32915356412422364,0.10654237956539395,0.27465966834294203,1.0,0.14647543351154335,0.04094059121300611,0.080805213405821,0.23178900656529663,0.01719977048103561,0.19521834857115425,0.25960887767650054,0.17276931945431556
subkind,0.29933898639485945,0.00792519372040046,0.4880526993154439,0.22325858760886122,0.34907974429433436,0.1713708572318076,0.13892957821775892,0.14647543351154335,1.0,0.05978955410150743,0.08516191572322945,0.016789696969220308,0.03215071878280532,0.17066781298449024,0.1910410727269627,0.06577039673108616
type,0.32264464153912326,0.3096764976927816,0.1364862873499991,0.301994059195616,0.0411341073343744,0.1424917089742061,0.0320303319910623,0.04094059121300611,0.05978955410150743,1.0,0.28230544697803295,0.1453709261477837,0.15490416434814405,0.011956117831550768,0.0264256987076991,0.30621997297737563
characterization,0.36514225267924877,0.20754141815519825,0.027095851626725447,0.5470117181321975,0.10671414280198525,0.5279711309353697,0.2965452327791882,0.080805213405821,0.08516191572322945,0.28230544697803295,1.0,0.08831049253261174,0.08691793475231986,0.18949241369336384,0.40246518691575606,0.32627418737841973
derivation,0.009916221395048613,0.013218879493124744,0.2621206873509797,0.06771442516892134,0.18451022722721178,0.056565744729642105,0.3669235593094919,0.23178900656529663,0.016789696969220308,0.1453709261477837,0.08831049253261174,1.0,0.1932382205322446,0.5194120567266172,0.44293235277288207,0.030692152253934506
formal,0.012877081730995315,0.02342648028732848,0.016767214953863213,0.04885901407779089,0.06927304363660525,0.1505646318647897,0.13246680195158672,0.01719977048103561,0.03215071878280532,0.15490416434814405,0.08691793475231986,0.1932382205322446,1.0,0.18127273352331927,0.1846051791239219,0.028237649782112736
material,0.14886886846730948,0.020010749757363937,0.36672207689704517,0.17531178636728187,0.18729756032650058,0.01801706875985267,0.33058834545136095,0.19521834857115425,0.17066781298449024,0.011956117831550768,0.18949241369336384,0.5194120567266172,0.18127273352331927,1.0,0.39438830765788796,0.039669209931559216
mediation,0.094436601319251,0.03416825663976446,0.2522524192239748,0.2610592355849,0.30054657064757595,0.12822411214949475,0.7460537648411351,0.25960887767650054,0.1910410727269627,0.0264256987076991,0.40246518691575606,0.44293235277288207,0.1846051791239219,0.39438830765788796,1.0,0.11645624632052294
participation,0.12869847301258655,0.6226191675016144,0.17616612830818687,0.09593981367274866,0.06768778361749107,0.26009994452838514,0.0482881056326722,0.17276931945431556,0.06577039673108616,0.30621997297737563,0.32627418737841973,0.030692152253934506,0.028237649782112736,0.039669209931559216,0.11645624632052294,1.0
