Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
role,-0.004676715734054608,0.10432280541954334,-0.023283356616701594,-0.1002386638239411,0.435437406256083,0.2224688094575965,0.1590299328524263,0.27005841031191397,0.11256917570016078,0.18135852790753246,1.0,0.05411873365115368,-0.1612418028201312,0.0666934950713668,-0.0666934950713668,-0.23265705583861543,0.025353590895152867,-0.019251284488553046,-0.048803348360754284,0.14408602150537633,-0.05075300752969596,-0.020194198551006747,-0.22035096937526694,-0.1769978940396005,-0.13691934637842046,0.12357084234275569,0.15580706246068932,0.10065104330754376,-0.20220558047243292
roleMixin,0.27742470309201894,-0.02652596563634256,-0.07588640210560982,0.2605538976598582,-0.17403810633438638,0.14940463483979444,0.27833253723282986,0.04931815079785511,0.06898817839212955,0.12302878459788591,0.05411873365115368,1.0,0.11021170301791543,0.029355965494774795,0.28160943890562723,0.19094819470027075,0.1894557158706083,0.019584973656599145,0.2614673782017588,0.011614522747051246,0.2730752833984733,0.09049981529388093,0.21035451228043073,0.21035451228043073,0.23936889388970212,-0.015282975535440297,0.16871392969239024,0.07343770121662432,0.20971411275061755
situation,0.16041815264177478,-0.24185851924243978,0.14134925765692263,0.494619366829498,-0.27938025285992096,-0.016819571865443424,-0.03557600122286249,-0.09457231378234209,0.2331006550634171,-0.11126284884382201,-0.1612418028201312,0.11021170301791543,1.0,-0.1283952774307254,0.0835748787475588,0.698014476301126,0.18888612792226947,-0.06764618707578386,0.06449882687594169,0.03333826539422196,0.08366297887272578,-0.07563020986510993,0.19901730024938016,0.09562159347919438,0.18548271851493237,0.09261548429474378,-0.13590455684003636,-0.08116288146984933,0.3524162988660173
subkind,0.25160873730717226,0.1630488103991681,0.13351146745863818,0.0036337218898207144,0.3607366997243632,-0.03875448006439218,0.2024345371072011,0.2811797881097682,0.10767931770692298,0.08460014228268598,0.0666934950713668,0.029355965494774795,-0.1283952774307254,1.0,0.027332144979203804,-0.00901319966365722,0.04195943609425434,0.1532714261254345,-0.058821607168429324,-0.029107754204876195,-0.10796567844225519,-0.07098634826759882,-0.051058605819509995,-0.005482803309477583,0.005438510654162665,0.07225715326640672,0.1338426537996752,0.1685706881453826,-0.08720932535569714
type,0.24842747741018503,0.06971138763041355,0.07788168935087227,0.3415698576431471,-0.21892985914306176,0.17321567611389202,0.280194282474884,0.008718753119682735,0.17591175664992367,-0.0030652225464741292,-0.0666934950713668,0.28160943890562723,0.0835748787475588,0.027332144979203804,1.0,0.22696875516664092,0.309022010480326,0.1697319137903139,0.36306003091180544,-0.1588209501275769,0.4419060326938817,0.1151040320040037,0.4612408284098017,0.7802714459800286,0.6214404840823206,-0.037563285452572454,-0.026174873827759064,0.07337069519996868,0.39244196410063714
bringsAbout,0.22134507915875745,-0.2172050954016977,0.04909731295457725,0.37582301400141443,-0.30190855551729334,-0.043683995187953295,0.07399022417653002,-0.009393227336666187,0.25655280964280014,-0.08454003624424038,-0.23265705583861543,0.19094819470027075,0.698014476301126,-0.00901319966365722,0.22696875516664092,1.0,0.24637214800955076,0.029025378244791924,0.1838632646333645,-0.026500301167547487,0.21467396350880788,-0.049860655380886326,0.3397676266964775,0.2140677814930519,0.3819904503581101,0.06439090545429119,-0.12800936046421055,-0.08947288973441542,0.5111192990419237
characterization,0.34089765891097257,0.15908192150621714,0.0889460083706025,0.2323971575096507,-0.022098813449325835,0.18888612792226947,0.514355483416801,0.053970432124635946,0.4945793736027462,0.3046763388009942,0.025353590895152867,0.1894557158706083,0.18888612792226947,0.04195943609425434,0.309022010480326,0.24637214800955076,1.0,0.27061597782689956,0.21451390558587197,0.07480564442332233,0.3624242577598808,0.045081579436624705,0.2566001396997562,0.29708391025736897,0.30498981314327883,0.18351555874951866,0.3988529558051026,0.1788224240673145,0.3534373437125938
componentOf,0.25690484496028865,0.31738735420635716,0.11116216147498595,-0.08581278705797844,0.1536590742882148,0.0951944080568723,0.1308987022519297,0.17768706774870896,-0.013072891720362214,0.08101808517936072,-0.019251284488553046,0.019584973656599145,-0.06764618707578386,0.1532714261254345,0.1697319137903139,0.029025378244791924,0.27061597782689956,1.0,0.0638160347516615,0.12166811796765524,-0.05558899996254385,0.1593836280362071,0.11173882661095925,0.15313510499329236,0.07804840727515484,0.33739453368792016,0.17352941176470588,0.38277982774036906,0.009901475429766743
creation,0.05217095740519961,-0.00160418453036349,0.024476302501319783,0.5196052499580891,0.005473067623079917,-0.08340365544302804,0.15538481330764764,0.08001919101307331,0.07915770368167162,0.04754004812485453,-0.048803348360754284,0.2614673782017588,0.06449882687594169,-0.058821607168429324,0.36306003091180544,0.1838632646333645,0.21451390558587197,0.0638160347516615,1.0,0.0074603844627904635,0.29068181288100825,-0.0915826648928706,0.4764400379121249,0.42630829341662446,0.4821625979078759,0.01778980800340119,0.13356844482905897,0.12172467553437176,0.7374397585943651
derivation,-0.03191170736178438,0.15398711970171955,-0.016933350266692068,-0.031108550841912757,0.2839809171235324,-0.009296247081081123,0.037723379420808105,0.1435819187262959,-0.04512908395186626,0.3227715279640489,0.14408602150537633,0.011614522747051246,0.03333826539422196,-0.029107754204876195,-0.1588209501275769,-0.026500301167547487,0.07480564442332233,0.12166811796765524,0.0074603844627904635,1.0,-0.14778081604235002,0.18805847400625034,-0.12647363331006445,-0.12647363331006445,-0.18416859185409706,0.5034643355691794,0.4245549939208898,0.2829188351997147,-0.05184758473652126
externalDependence,0.1652894436809787,0.006162787734604122,-0.0047015244813953735,0.3378125224502444,-0.2207714951038695,-0.15308545070328547,0.34994985354996233,-0.03943359360831999,0.18274142785508313,0.11884186615841966,-0.05075300752969596,0.2730752833984733,0.08366297887272578,-0.10796567844225519,0.4419060326938817,0.21467396350880788,0.3624242577598808,-0.05558899996254385,0.29068181288100825,-0.14778081604235002,1.0,0.07218877458951924,0.3844577213256354,0.5289008765129504,0.4400987555383646,-0.17829811279275945,0.09350354865494555,0.08615905666960304,0.3915554237491469
formal,-0.0019374606457303214,0.26998244804416405,-0.05962847939999439,-0.03245763303734318,-0.002777777777777778,0.1745891411811493,-0.015627967832118696,0.054758567819339354,-0.14195296976147875,0.037646956333170396,-0.020194198551006747,0.09049981529388093,-0.07563020986510993,-0.07098634826759882,0.1151040320040037,-0.049860655380886326,0.045081579436624705,0.1593836280362071,-0.0915826648928706,0.18805847400625034,0.07218877458951924,1.0,-0.016452288364143232,0.03443502215750909,0.12063689827671961,0.19019076860001397,0.12111950561541636,0.3595066751883065,-0.04868644955601477
historicalDependence,0.15077929059895762,0.03465292084905495,0.15399810070180361,0.40236455261563614,-0.29269768833882726,0.043923740094101486,0.10284633332782848,0.001885612496172415,0.21181999189263204,0.06399372364491424,-0.22035096937526694,0.21035451228043073,0.19901730024938016,-0.051058605819509995,0.4612408284098017,0.3397676266964775,0.2566001396997562,0.11173882661095925,0.4764400379121249,-0.12647363331006445,0.3844577213256354,-0.016452288364143232,1.0,0.5794466403162055,0.5863184133997812,0.03189361438322608,0.05384628691837312,0.021681820909736412,0.5909729366542156
instantiation,0.15077929059895762,0.03465292084905495,0.05646597025732799,0.32272990157712483,-0.18365345150671517,-0.007774113290991413,0.18237285851737028,0.001885612496172415,0.25270832124200804,0.016970711242850184,-0.1769978940396005,0.21035451228043073,0.09562159347919438,-0.005482803309477583,0.7802714459800286,0.2140677814930519,0.29708391025736897,0.15313510499329236,0.42630829341662446,-0.12647363331006445,0.5289008765129504,0.03443502215750909,0.5794466403162055,1.0,0.6975599954000249,-0.12817622384202176,0.012450008536040029,0.021681820909736412,0.5029556907695452
manifestation,0.12035487353320519,-0.06692163026336787,-0.06245942635826037,0.401331363493436,-0.221639938948,0.13078382369789024,0.17144929271380055,-0.04056645607286881,0.23062161089643626,-0.016833613882047682,-0.13691934637842046,0.23936889388970212,0.18548271851493237,0.005438510654162665,0.6214404840823206,0.3819904503581101,0.30498981314327883,0.07804840727515484,0.4821625979078759,-0.18416859185409706,0.4400987555383646,0.12063689827671961,0.5863184133997812,0.6975599954000249,1.0,-0.12160943693577815,-0.03424909011230424,-0.03996077109047851,0.5720634905044558
material,0.11528624888962308,0.1713354125253992,-0.015630486515745067,0.03190559699585693,0.3036353388445858,0.13196966771711097,0.14292506846633107,0.14617086008519087,0.011701354166830961,0.24168713758434718,0.12357084234275569,-0.015282975535440297,0.09261548429474378,0.07225715326640672,-0.037563285452572454,0.06439090545429119,0.18351555874951866,0.33739453368792016,0.01778980800340119,0.5034643355691794,-0.17829811279275945,0.19019076860001397,0.03189361438322608,-0.12817622384202176,-0.12160943693577815,1.0,0.3558754140444214,0.2763247665429196,-0.028715037296271242
mediation,0.057527772030984886,0.28162166738009825,-0.03435921354681384,-0.03960590171906697,0.2327483037012665,0.1083563358589479,0.2448464934208757,0.21728307170385303,0.07746898797251683,0.6965884849441942,0.15580706246068932,0.16871392969239024,-0.13590455684003636,0.1338426537996752,-0.026174873827759064,-0.12800936046421055,0.3988529558051026,0.17352941176470588,0.13356844482905897,0.4245549939208898,0.09350354865494555,0.12111950561541636,0.05384628691837312,0.012450008536040029,-0.03424909011230424,0.3558754140444214,1.0,0.3497340872160206,0.09406401658278406
memberOf,0.07467038087662643,0.7260039887079709,0.18393895618916728,0.06489498159228944,0.14725555904605772,0.10179751235201441,0.2504983870642766,0.25636380146510407,-0.15449721153974783,0.22710150476736396,0.10065104330754376,0.07343770121662432,-0.08116288146984933,0.1685706881453826,0.07337069519996868,-0.08947288973441542,0.1788224240673145,0.38277982774036906,0.12172467553437176,0.2829188351997147,0.08615905666960304,0.3595066751883065,0.021681820909736412,0.021681820909736412,-0.03996077109047851,0.2763247665429196,0.3497340872160206,1.0,0.11124853987249621
participation,0.13264886249312777,0.026756720794497313,0.1224744871391589,0.6333333333333333,-0.2282177322938192,-0.037096452512212344,0.13790773598826614,0.06498375609121204,0.2542794886444625,0.07310758190895333,-0.20220558047243292,0.20971411275061755,0.3524162988660173,-0.08720932535569714,0.39244196410063714,0.5111192990419237,0.3534373437125938,0.009901475429766743,0.7374397585943651,-0.05184758473652126,0.3915554237491469,-0.04868644955601477,0.5909729366542156,0.5029556907695452,0.5720634905044558,-0.028715037296271242,0.09406401658278406,0.11124853987249621,1.0
