Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,formal,material,mediation,memberOf,participation
category,1.0,0.1154133428000299,0.23137323770768467,0.37878024863582926,0.019989985991621717,0.19835561629436643,0.02516118902777087,0.0523810367735732,0.3290039262686619,0.32264721597265905,0.40684844054305314,0.3961926087342758,0.2927462423335344,-0.010989401721124305,0.14777208159659305,0.21332639189796992,0.12152688232017585,0.19306459363600983,0.13855874477397448
event,0.1154133428000299,1.0,-0.20670300116178475,0.18579769127169812,0.11829377111251753,0.11740700979704044,-0.04650088264431693,-0.007403205268757401,0.31582585167042254,0.02622531370949566,0.33711257006851647,0.22337110007581307,-0.06275866221196372,-0.045678413401035525,-0.028202195012682733,0.036249749746338905,0.020601743661281383,0.10948287475185431,0.6408030483878283
kind,0.23137323770768467,-0.20670300116178475,1.0,0.1565441527308424,0.2647996208519383,0.1724977068354241,0.35054244150310615,0.3981108011860591,-0.16066563036435708,0.60272199138653,-0.10337685437735566,0.06467909057227023,0.47286652543230284,0.22247840222696802,-0.00026761205009346337,0.3836771175657124,0.2880431921610444,0.2654363231080547,-0.15422913562210752
mode,0.37878024863582926,0.18579769127169812,0.1565441527308424,1.0,0.11448398493213932,0.19528700572017935,0.13525496742746387,0.2506407017150161,0.29559420651159807,0.24437021052311567,0.3269777752721132,0.5707575007048379,0.266459968227254,0.05246381252792967,0.11684343284406225,0.17883933095164473,0.2600189556823845,0.3427922486471307,0.08926420964624904
phase,0.019989985991621717,0.11829377111251753,0.2647996208519383,0.11448398493213932,1.0,0.1227017309187532,0.2792754641028428,0.4155688759189208,0.09998729488676855,0.34457204947437825,0.049631199485588064,0.13054717796097692,0.20281665403013907,0.1944034762776731,0.05868601240908893,0.21930191588682083,0.39577236686829576,0.27118049552253104,0.062276090117000346
quality,0.19835561629436643,0.11740700979704044,0.1724977068354241,0.19528700572017935,0.1227017309187532,1.0,0.11395827273559972,0.05994991731653092,0.020400737373523943,0.30653068505841047,0.11087402490250417,0.5676467498496228,0.015024500301083484,-0.097035786041305,-0.1510040021436806,0.02545551873686306,0.14524088017022527,-0.08421867521369233,0.27097577385162097
relator,0.02516118902777087,-0.04650088264431693,0.35054244150310615,0.13525496742746387,0.2792754641028428,0.11395827273559972,1.0,0.41423659660821044,0.1911981510119519,0.22396489029571692,0.11217714793138246,0.2694183171957529,0.39798189100338277,0.3751032113576864,0.17784932811595522,0.37578944426976135,0.7648259282389505,0.33592001837366486,0.028319132652278648
role,0.0523810367735732,-0.007403205268757401,0.3981108011860591,0.2506407017150161,0.4155688759189208,0.05994991731653092,0.41423659660821044,1.0,0.13477502643786568,0.24414648178899873,0.05576400574155138,0.13159437642406827,0.17450953754909607,0.277442878498973,0.011435397197604273,0.22347643227924102,0.44551563261189797,0.308594964956516,-0.1602316435297549
roleMixin,0.3290039262686619,0.31582585167042254,-0.16066563036435708,0.29559420651159807,0.09998729488676855,0.020400737373523943,0.1911981510119519,0.13477502643786568,1.0,-0.0041569140451502605,0.39520446906000145,0.26367741096482633,0.07850337770642406,0.07235892043923041,0.19009124711574307,0.04452342642344174,0.25230382517322797,0.14259536708875134,0.23374825254091636
subkind,0.32264721597265905,0.02622531370949566,0.60272199138653,0.24437021052311567,0.34457204947437825,0.30653068505841047,0.22396489029571692,0.24414648178899873,-0.0041569140451502605,1.0,0.07311404663025983,0.19673971088659656,0.35636741375731756,0.0015480883997663869,-0.03449566948639224,0.2500535001307748,0.2806106121605705,0.2674726993567837,0.04094339233951634
