model,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
bank-account2013,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,6,0,0,2,0,0,0
bank-model,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,7,4,1,0,5,0,0,0
chartered-service,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0
clergy-ontology,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,7,16,0,0,0,0,0,0
construction-model,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,3,1,0,2,0,0,0
digitaldoctor2022,0,1,1,8,4,0,0,0,5,1,0,4,0,0,0,3,9,0,0,12,0,0,0
experiment2013,0,0,1,2,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0
freshbz2023,0,5,2,0,0,0,0,0,19,0,0,2,0,14,1,8,10,0,0,30,0,0,0
g809-2015,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,2,6,0,0,4,0,0,0
genealogy2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,2,0,0,0
gi2mo,0,0,2,5,0,0,0,0,4,0,4,6,0,0,0,17,26,0,0,0,4,0,0
health-organizations,0,1,7,0,0,0,0,0,6,0,0,5,0,0,0,1,2,0,0,2,0,0,0
idaf2013,0,3,1,0,0,0,0,0,5,0,0,8,0,0,0,3,5,0,0,21,0,0,0
internal-affairs2013,0,0,3,0,0,0,0,0,13,0,0,4,0,0,0,10,14,0,0,17,0,0,0
internship,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,13,0,0,2,0,0,0
it-infrastructure,0,0,1,0,0,0,0,0,13,0,0,4,0,0,0,0,5,0,0,8,0,0,0
library,0,0,1,0,0,0,0,0,7,0,0,2,0,0,0,14,15,0,0,4,0,0,0
music-ontology,0,0,1,1,0,0,0,0,6,1,0,5,0,0,0,3,9,0,0,16,0,0,0
online-mentoring,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,3,15,0,0,3,0,0,0
parking-business2013,0,0,1,0,0,0,0,0,7,0,0,6,0,0,0,17,9,1,0,7,2,0,0
photography,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,2,0,0,0
project-assets2013,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,7,3,2,0,0,0,0,0
project-management-ontology,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,1,2,1,0,2,0,0,0
public-organization2013,0,3,1,0,0,0,0,0,5,0,0,8,0,0,0,3,5,0,0,21,0,0,0
public-tender,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,17,29,5,0,9,0,0,0
qam,0,1,1,0,0,0,0,0,11,0,1,8,0,0,0,6,8,0,0,5,0,0,0
real-estate-ontology,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,7,3,0,0,0,0,0
recommendation-ontology,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,11,0,0,0
road-accident2013,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,7,0,0,0,0,0,0
scientific-experiment2013,0,0,1,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0
scientific-publication2013,0,11,1,0,0,0,0,0,24,0,0,0,0,0,0,6,3,2,0,8,0,0,0
short-examples2013,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,14,0,0,5,0,0,0
social-contract,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,3,2,0,0,7,0,0,0
social-contracts2013,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,3,2,0,0,7,0,0,0
sousa2022triponto,0,2,0,6,0,0,0,0,9,0,0,2,0,0,0,5,6,6,0,8,0,0,0
sportbooking2021,0,2,1,3,0,0,0,0,8,0,0,4,0,0,0,9,10,0,0,0,0,0,0
srro-ontology,0,1,0,0,0,0,0,0,7,0,3,0,0,0,0,0,5,0,0,4,0,0,0
stock-broker2021,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,7,1,0,2,0,0,0
telecom-equipment2013,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,9,14,1,0,0,0,0,0
tender2013,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,19,34,6,0,10,0,0,0
tourbo2021,0,3,0,7,0,0,0,0,7,0,0,5,0,2,0,4,5,0,0,16,0,0,0
unimatch-ontology2022,1,0,0,0,0,0,0,0,16,0,0,5,0,0,0,2,0,0,0,10,0,0,0
university-ontology,0,0,0,3,0,0,0,0,5,0,0,9,0,2,0,4,6,0,0,3,0,0,0
