Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,externalDependence,instantiation,material,mediation,participation,none_r,other_r
category,1.0,0.15586500684013443,0.08716082148216785,0.05781806759421862,0.24047572337109388,0.1127496030810811,0.2539175620205927,0.0950848351500779,0.11136486019143717,0.19848436693379035,0.1037979183448657,0.27217668879685286,0.06219542917196609,0.34219689254027374,0.3074084389839918,0.12227814051542327,0.22141343188924476,0.032620152612219296,0.128167060601269,0.10458771320114357,0.11713040754354198,0.16655172274021782
datatype,0.15586500684013443,1.0,0.08671804446008556,0.03501458873425179,0.06261450128640868,0.03649975455549569,0.1275221998618034,0.09235715762014102,0.10539548695428624,0.05420113116972793,0.018481639934323994,0.10656987242468625,0.12713160752926153,0.07067711269284847,0.1472556654490532,0.02562653576494101,0.07402533901017563,0.031014631950096117,0.0346998071174818,0.09477466191572982,0.07425548805743694,0.06703103270552839
event,0.08716082148216785,0.08671804446008556,1.0,0.20334989751529284,0.14172193528120186,0.042806591682591516,0.15568469698915963,0.05290835987070153,0.12982979041195647,0.21772848832842406,0.037381417252914904,0.3401278266985656,0.040011061471625455,0.22500554165902623,0.03859151763145779,0.30354117776146905,0.34973274602652066,0.017341134971900898,0.05558845156185671,0.7204814774513523,0.12292086670788484,0.217385820822192
kind,0.05781806759421862,0.03501458873425179,0.20334989751529284,1.0,0.031015521304203823,0.2876508687612388,0.15064796922232648,0.3296467331811364,0.37565778677687645,0.2010786724210026,0.5050135883179341,0.3264945730925248,0.06379750262373957,0.0508739372965074,0.18172607305074856,0.2958624710000795,0.2646685776234829,0.2386694310070531,0.2882975536720061,0.28685781335906474,0.0636803243974303,0.07830040616943368
mode,0.24047572337109388,0.06261450128640868,0.14172193528120186,0.031015521304203823,1.0,0.03579947017231941,0.24193550566844063,0.08232663216067072,0.08908351006635833,0.1189651996262732,0.09475488407428306,0.2418288521474111,0.06146262137806129,0.559771951867562,0.22210365464880924,0.37826970450544045,0.19213262333835063,0.13680483397732793,0.1489280257260152,0.020491868867959905,0.013897142127598053,0.019744625385802947
phase,0.1127496030810811,0.03649975455549569,0.042806591682591516,0.2876508687612388,0.03579947017231941,1.0,0.06253688785394905,0.1265062806668662,0.27134470817751566,0.07050135844311493,0.31612822768363424,0.12744572234636029,0.08938683309536927,0.04325344148184206,0.14524826153522374,0.1694261197430179,0.07817643739913505,0.08432992008446104,0.22373956191750538,0.10325203629217167,0.0607586794930153,0.018664678599292082
quality,0.2539175620205927,0.1275221998618034,0.15568469698915963,0.15064796922232648,0.24193550566844063,0.06253688785394905,1.0,0.20829147095496667,0.07494438532748335,0.017151082625929244,0.2625577518127862,0.15178040284649916,0.21105829938616968,0.5722589000745135,0.08820632992936595,0.07478514358385258,0.16697013656651166,0.06860712238472824,0.10144371845973606,0.19058609652985503,0.10620962941634407,0.11110619954150461
relator,0.0950848351500779,0.09235715762014102,0.05290835987070153,0.3296467331811364,0.08232663216067072,0.1265062806668662,0.20829147095496667,1.0,0.22451569601402865,0.09706703797062702,0.32074309338815704,0.048144504661611166,0.1514133193670163,0.18749700888423898,0.21229273613910699,0.013069823878408056,0.050249719082726185,0.23473262254563543,0.7393332508673317,0.047243444415687896,0.11799698863271771,0.0658818589593259
role,0.11136486019143717,0.10539548695428624,0.12982979041195647,0.37565778677687645,0.08908351006635833,0.27134470817751566,0.07494438532748335,0.22451569601402865,1.0,0.013008431744119914,0.0688438102878149,0.2240929296611231,0.03216433678627999,0.02560959011405252,0.017872919197626885,0.03945558435168613,0.24357751892247817,0.008065619913923825,0.2802652040469853,0.3105902959696808,0.10704896495270176,0.0736435062817995
roleMixin,0.19848436693379035,0.05420113116972793,0.21772848832842406,0.2010786724210026,0.1189651996262732,0.07050135844311493,0.017151082625929244,0.09706703797062702,0.013008431744119914,1.0,0.14084736604615133,0.34312611820280625,0.1095094622319365,0.14467572486589214,0.08628127145332785,0.3824909190538047,0.355072242539647,0.012814560717430026,0.13743644696662644,0.17643890466313433,0.03313434446211535,0.08894122191062553
subkind,0.1037979183448657,0.018481639934323994,0.037381417252914904,0.5050135883179341,0.09475488407428306,0.31612822768363424,0.2625577518127862,0.32074309338815704,0.0688438102878149,0.14084736604615133,1.0,0.10943341295735148,0.21169225298424213,0.08301597870101304,0.24055881896973338,0.09617323933890103,0.0758442947304214,0.10565366204894862,0.1766053472507558,0.11753758477834479,0.1045728557256213,0.05811771879094456
type,0.27217668879685286,0.10656987242468625,0.3401278266985656,0.3264945730925248,0.2418288521474111,0.12744572234636029,0.15178040284649916,0.048144504661611166,0.2240929296611231,0.34312611820280625,0.10943341295735148,1.0,0.05168874270175841,0.2651086303233724,0.2186091881336571,0.5250728743222601,0.93067352284625,0.215343723041535,0.04138933362777991,0.38504457068184306,0.06742776075626519,0.16942882467508769
none_c,0.06219542917196609,0.12713160752926153,0.040011061471625455,0.06379750262373957,0.06146262137806129,0.08938683309536927,0.21105829938616968,0.1514133193670163,0.03216433678627999,0.1095094622319365,0.21169225298424213,0.05168874270175841,1.0,0.10625234554258538,0.03702947851456853,0.043374933073204815,0.007683142441368977,0.06221180027949475,0.028791969438555737,0.04749651317484436,0.08312888067132777,0.055945192280643326
characterization,0.34219689254027374,0.07067711269284847,0.22500554165902623,0.0508739372965074,0.559771951867562,0.04325344148184206,0.5722589000745135,0.18749700888423898,0.02560959011405252,0.14467572486589214,0.08301597870101304,0.2651086303233724,0.10625234554258538,1.0,0.25806828444262647,0.32985777381918224,0.24583557368650824,0.189655510330528,0.16904692361332238,0.2336938241884865,0.01660674009163803,0.011535646252814526
componentOf,0.3074084389839918,0.1472556654490532,0.03859151763145779,0.18172607305074856,0.22210365464880924,0.14524826153522374,0.08820632992936595,0.21229273613910699,0.017872919197626885,0.08628127145332785,0.24055881896973338,0.2186091881336571,0.03702947851456853,0.25806828444262647,1.0,0.0519901329244237,0.26973647130356665,0.2320826634891749,0.1718578898038357,0.008207161552666946,0.012738369344394289,0.02175256210260904
externalDependence,0.12227814051542327,0.02562653576494101,0.30354117776146905,0.2958624710000795,0.37826970450544045,0.1694261197430179,0.07478514358385258,0.013069823878408056,0.03945558435168613,0.3824909190538047,0.09617323933890103,0.5250728743222601,0.043374933073204815,0.32985777381918224,0.0519901329244237,1.0,0.5078675141572503,0.27333986982788533,0.02383120919440496,0.21971412978892876,0.0384595944326408,0.12120962982865187
instantiation,0.22141343188924476,0.07402533901017563,0.34973274602652066,0.2646685776234829,0.19213262333835063,0.07817643739913505,0.16697013656651166,0.050249719082726185,0.24357751892247817,0.355072242539647,0.0758442947304214,0.93067352284625,0.007683142441368977,0.24583557368650824,0.26973647130356665,0.5078675141572503,1.0,0.16610290156056337,0.04189187783710586,0.43740182964264357,0.0925699160822265,0.20947156604146017
material,0.032620152612219296,0.031014631950096117,0.017341134971900898,0.2386694310070531,0.13680483397732793,0.08432992008446104,0.06860712238472824,0.23473262254563543,0.008065619913923825,0.012814560717430026,0.10565366204894862,0.215343723041535,0.06221180027949475,0.189655510330528,0.2320826634891749,0.27333986982788533,0.16610290156056337,1.0,0.32500521004648664,0.06747127571135732,0.2453393131876261,0.11143923370647357
mediation,0.128167060601269,0.0346998071174818,0.05558845156185671,0.2882975536720061,0.1489280257260152,0.22373956191750538,0.10144371845973606,0.7393332508673317,0.2802652040469853,0.13743644696662644,0.1766053472507558,0.04138933362777991,0.028791969438555737,0.16904692361332238,0.1718578898038357,0.02383120919440496,0.04189187783710586,0.32500521004648664,1.0,0.05343594840317549,0.16120146434726756,0.11051953948748847
participation,0.10458771320114357,0.09477466191572982,0.7204814774513523,0.28685781335906474,0.020491868867959905,0.10325203629217167,0.19058609652985503,0.047243444415687896,0.3105902959696808,0.17643890466313433,0.11753758477834479,0.38504457068184306,0.04749651317484436,0.2336938241884865,0.008207161552666946,0.21971412978892876,0.43740182964264357,0.06747127571135732,0.05343594840317549,1.0,0.07792236947866304,0.1211003962792123
