stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.8042213753063625,13
collective,3.0678808823656167,8
datatype,1.4036499313795834,19
event,3.6932717363160776,3
kind,3.6699238742695863,5
mode,2.225191670581825,18
phase,2.5442383803178243,17
quality,3.008314973525465,9
relator,3.8571275583779094,2
role,3.6753097916396014,4
roleMixin,2.599976225241096,16
subkind,2.9506165612160458,10
characterization,3.2023815829724063,7
componentOf,2.7297401023522254,15
derivation,2.9468886221350594,11
material,2.946523211110729,12
mediation,4.1086007965877505,1
memberOf,2.769300696559715,14
participation,3.3641872902979664,6
