Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf,participation
category,1.0,0.03708115839879692,0.09830118898588996,0.18746232030647567,0.07813377664353553,0.29646003254813436,0.0488120148031569,0.28251658723916273,0.09558706143745721,0.09742706561638209,0.22517530403295496,0.17634631280917717,0.3643944965578361,0.08449112455593336,0.07646321565241244,0.030329290048819364,0.05817212243662726,0.08420583746477356,0.18620733816321983
collective,0.03708115839879692,1.0,0.04201146466976073,0.19003197812612752,0.18920135460739554,0.01883398584652858,0.2253306349455477,0.1583639925353684,0.1963130244916734,0.15822451635104332,0.10724509012049392,0.14880347580029638,0.027411950337796323,0.2654071549521094,0.0874238960316416,0.11338143644196662,0.2584533222381732,0.64404873008974,0.057503378303989064
datatype,0.09830118898588996,0.04201146466976073,1.0,0.05432498911703657,0.09396777677756946,0.003015365106461853,0.12011646257043485,0.17961982680090294,0.0843287003967142,0.09872844493416108,0.10266357829246694,0.029903023016768657,0.054429070785988236,0.09317801323021808,0.09121664779283623,0.07995765606398761,0.0331216219413238,0.04488494715435809,0.0925378004027922
event,0.18746232030647567,0.19003197812612752,0.05432498911703657,1.0,0.3104473696409234,0.2348671479512513,0.05154019875694543,0.2110177557896967,0.21067281114754718,0.24336169899738158,0.27195117520032536,0.05750786238949961,0.25559736556071794,0.15265674415074312,0.10699227811972689,0.12008540509316763,0.21169725579147056,0.06313093813000133,0.6378701118816795
kind,0.07813377664353553,0.18920135460739554,0.09396777677756946,0.3104473696409234,1.0,0.03667589792506489,0.23229161443583107,0.03152358777932224,0.20470784133365763,0.33436644598545273,0.20954007731234553,0.42263000460773964,0.07622087902042965,0.2965208882215723,0.13747891878982982,0.2785159348547167,0.21955438304589622,0.13173462601720562,0.2660934082222411
mode,0.29646003254813436,0.01883398584652858,0.003015365106461853,0.2348671479512513,0.03667589792506489,1.0,0.024246383291598762,0.21306519809638652,0.02632939847700616,0.046573802204618375,0.18531678926168613,0.00508130571050531,0.5815002331109934,0.05099898671279365,0.0951096596030765,0.08194959593343074,0.045936786173845154,0.12231655794538186,0.13368216230570126
phase,0.0488120148031569,0.2253306349455477,0.12011646257043485,0.05154019875694543,0.23229161443583107,0.024246383291598762,1.0,0.08110630947234267,0.13429034457763256,0.2580394154394036,0.06651471323280242,0.2908216465141094,0.013364846959941527,0.16486733635242415,0.11927574940592109,0.11824679557318855,0.2165396432559395,0.18911458686832772,0.09740648530797495
quality,0.28251658723916273,0.1583639925353684,0.17961982680090294,0.2110177557896967,0.03152358777932224,0.21306519809638652,0.08110630947234267,1.0,0.07432661330197875,0.059720360148604004,0.0838332376037632,0.1551490048649039,0.5864657927878173,0.009369159221569069,0.1141089482478071,0.06141858959719078,0.02797222510967324,0.203611100818293,0.2891732887910293
relator,0.09558706143745721,0.1963130244916734,0.0843287003967142,0.21067281114754718,0.20470784133365763,0.02632939847700616,0.13429034457763256,0.07432661330197875,1.0,0.3272130211232261,0.12093547922079739,0.17812053159190094,0.04827004561488447,0.07053103699719913,0.3300920545754317,0.2920869849295811,0.7651651888845008,0.13547372538222138,0.06979245419132245
role,0.09742706561638209,0.15822451635104332,0.09872844493416108,0.24336169899738158,0.33436644598545273,0.046573802204618375,0.2580394154394036,0.059720360148604004,0.3272130211232261,1.0,0.01255710527674652,0.07795192206139889,0.1337628051244912,0.011778998166387491,0.24659468563319573,0.1956220850127242,0.3353519751345184,0.07557455457397064,0.3309597789435937
roleMixin,0.22517530403295496,0.10724509012049392,0.10266357829246694,0.27195117520032536,0.20954007731234553,0.18531678926168613,0.06651471323280242,0.0838332376037632,0.12093547922079739,0.01255710527674652,1.0,0.045400384164869176,0.15421093774622818,0.06749926806306045,0.0914169159371076,0.12986680934388697,0.1402557329341687,0.11972048403096132,0.21838413290150774
subkind,0.17634631280917717,0.14880347580029638,0.029903023016768657,0.05750786238949961,0.42263000460773964,0.00508130571050531,0.2908216465141094,0.1551490048649039,0.17812053159190094,0.07795192206139889,0.045400384164869176,1.0,0.030297241032434842,0.30810436552062453,0.03311131267932608,0.15980235473453136,0.21114180631211676,0.0767513225091632,0.09612672264037037
