stereotype,total_correlation,rank
category,3.0165870775957773,12
collective,3.1914691535132143,11
datatype,1.5915275945995015,19
event,4.358972996748776,1
kind,4.20676851476025,2
mode,2.6505096122544374,17
phase,2.7120751478083966,16
quality,3.4820591413941844,8
relator,3.7015689897274964,6
role,3.6621314641926315,7
roleMixin,2.901072321469528,13
subkind,2.7992804114287297,15
characterization,3.754334265883778,5
componentOf,2.5690873687467777,18
derivation,3.197955744187768,10
material,3.354548684910908,9
mediation,4.091339051617742,3
memberOf,2.83271308517182,14
participation,4.053635972863653,4
