Stereotype,DistanceFromOrigin,Rank
subkind,0.22804064043660938,1
kind,0.21629614708915829,2
relator,0.12314704978583688,3
role,0.12173978676996998,4
category,0.11210772885684257,5
event,0.09177588137023054,6
mode,0.08512799213542213,7
roleMixin,0.0787001513373303,8
quality,0.07773120231850558,9
phase,0.06197417369357503,10
collective,0.03958263189169626,11
none,0.03854729652968933,12
datatype,0.03271133616450888,13
type,0.03261238964029699,14
situation,0.027975317291261525,15
mixin,0.02029904932992461,16
other,0.020165200749488972,17
phaseMixin,0.012136407558482417,18
enumeration,0.010850851684259104,19
quantity,0.01024918257311812,20
historicalRole,0.007396793294379764,21
historicalRoleMixin,0.004663161588785021,22
abstract,0.0014430927500855926,23
