Stereotype,DistanceFromOrigin,Rank
kind,77.63548435478387,1
relator,71.09725028515267,2
subkind,69.86277479110235,3
category,66.07890486563745,4
role,62.159181327068794,5
mode,46.09009551451224,6
quality,42.0822906594396,7
event,41.17212819234122,8
roleMixin,40.103577203746575,9
phase,33.06939951541332,10
collective,26.010197305944065,11
datatype,20.017962160862528,12
type,20.017504745079535,13
situation,17.01606046650111,14
none,16.08507627084626,15
mixin,14.001219397340947,16
other,12.01330390439836,17
phaseMixin,8.002953141135217,18
quantity,7.001021057046596,19
enumeration,5.018867991571824,20
historicalRole,4.00780488547035,21
historicalRoleMixin,3.001594566774338,22
abstract,1.0000590719792581,23
