Stereotype,DistanceFromOrigin,Rank
subkind,10.946096009026139,1
kind,9.913653766492471,2
role,4.44653439763789,3
event,3.761325630522216,4
relator,3.7187747800509343,5
category,3.229637446817265,6
mode,2.881184288484328,7
roleMixin,2.8810015347070634,8
quality,2.6311189911438166,9
phase,2.141823232435043,10
none,1.65233201503844,11
datatype,0.8483073736887001,12
type,0.837444055332818,13
situation,0.7395293067487558,14
collective,0.7292074368632161,15
other,0.5654773001490976,16
enumeration,0.4348412782066116,17
historicalRole,0.2500652975948972,18
phaseMixin,0.21769150523377587,19
mixin,0.1858618101611261,20
quantity,0.11998267045631987,21
historicalRoleMixin,0.09791991950652186,22
abstract,0.010963040834624913,23
