Stereotype,DistanceFromOrigin,Rank
kind,77.00454854240287,1
relator,71.00419411052734,2
subkind,69.00407596656882,3
category,66.00389875063104,4
role,62.003662462714004,5
mode,46.00271731104588,6
quality,42.002481023128844,7
event,41.002421951149586,8
roleMixin,40.00236287917033,9
phase,33.00194937531552,10
collective,26.001535871460714,11
datatype,20.001181439585164,12
type,20.001181439585164,12
situation,17.00100422364739,13
none,16.00094515166813,14
mixin,14.000827007709615,15
other,12.000708863751099,16
phaseMixin,8.000472575834065,17
quantity,7.000413503854808,18
enumeration,5.000295359896291,19
historicalRole,4.000236287917033,20
historicalRoleMixin,3.0001772159377746,21
abstract,1.0000590719792581,22
