Stereotype,x_value,y_value,quadrant
bringsAbout,0.0,0,Q3
characterization,5.448275862068965,11,Q1
comparative,0.5172413793103449,1,Q4
componentOf,10.96551724137931,13,Q1
creation,0.0,0,Q3
derivation,3.896551724137931,9,Q1
externalDependence,0.2758620689655172,2,Q1
historicalDependence,0.0,0,Q3
instantiation,0.0,0,Q3
manifestation,0.0,0,Q3
material,10.275862068965518,16,Q1
mediation,45.72413793103448,15,Q1
memberOf,4.482758620689655,10,Q1
participation,0.1379310344827586,1,Q3
participational,0.0,0,Q3
subCollectionOf,0.6551724137931034,4,Q1
subQuantityOf,0.1034482758620689,2,Q2
termination,0.0,0,Q3
triggers,0.0,0,Q3
other,12.689655172413794,14,Q1
none,19.20689655172414,24,Q1
