Construct,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,0.04786485027570417,0.036407872084630415,0.00283583642343313,0.00200869185693546,0.000567743420796199,0.03208350726013039,0.00027899735835622275,0.0364078720846307,0.015052413359030951,0.0016660713202636193,0.0187288019323655,0.003437160779705274,0.04786485027570503,0.021918661328702287,0.0008669442132167512,0.011630615728126417,0.009870792561519355,0.04786485027570414,0.02718706417908559,0.010830134252542256,0.03640787208463075,0.03208350726013107,0.0014999444727451655
category,0.036407872084630415,2.2837580539351183,0.3549102952958103,0.35327312731259497,0.1464617056720931,0.6762009714571627,0.07079880018693513,0.05634624527622791,1.0461684830545996,0.2630115556512219,0.739922490256488,0.5465341724761519,0.1337992706340202,0.5573678637491433,0.17817513885950592,0.7433666068400571,0.803169066762041,0.6505629650811684,0.3171445674248487,1.137034918980489,0.5532121418431111,0.38198190977123797,0.3142307060869267
collective,0.00283583642343313,0.3549102952958103,1.076923628638858,0.1964597835781513,0.08406144835565588,0.2360849334388503,0.044222263380283316,0.027480372666996412,0.49376671013319706,0.13709306424852696,0.32198083036463887,0.317658715782708,0.03952566785100694,0.15268875905423923,0.15884579591909603,0.42407206015847176,0.4309431816964986,0.2510737663261113,0.05763887815987339,0.5701587151339884,0.2556237609206318,0.1121105282589353,0.13666103780920172
datatype,0.00200869185693546,0.35327312731259497,0.1964597835781513,0.9052537632312313,0.14942782955060233,0.22716638183958227,0.03139820478620521,0.017964106422652712,0.40202256991792207,0.09177075985090788,0.25935820489224237,0.21407553656662856,0.08663165320045632,0.1830163401309384,0.10394101647017098,0.2765862692811921,0.31791440555831174,0.20142824717906985,0.11308600792707542,0.4316258624558326,0.17182002736071914,0.10450920761088653,0.1038599600492083
enumeration,0.000567743420796199,0.1464617056720931,0.08406144835565588,0.14942782955060233,0.3695003152197628,0.0881502963284055,0.0023008371433912295,0.001718074817591994,0.20746301027443506,0.07527486971095937,0.13493331208758885,0.13537746661636071,0.05145085094294026,0.09422672885934735,0.11460545761674765,0.1670138852407054,0.19240053184046935,0.13641805001644863,0.06317767935454954,0.211125256022477,0.11386997440710361,0.014478429113379848,0.058168345744829805
event,0.03208350726013039,0.6762009714571627,0.2360849334388503,0.22716638183958227,0.0881502963284055,1.8966799001480728,0.13375895735759374,0.08891071568800496,0.8221482967381007,0.17898310328867292,0.6114378207161207,0.4825673511747678,0.08031334771890122,0.4422482847638231,0.1835118965811804,0.599636994897469,0.6867980907906862,0.7055386686818239,0.4980827395863598,0.8562113375964105,0.5069287878242171,0.42448149473070673,0.32316794038799435
historicalRole,0.00027899735835622275,0.07079880018693513,0.044222263380283316,0.03139820478620521,0.0023008371433912295,0.13375895735759374,0.19104384831296045,0.04828689851812897,0.12230197916651986,0.006758224666076645,0.022095265071398307,0.03316554598875953,0.0023008371433912295,0.04045259902287536,0.09332158640513447,0.09041057847816114,0.09441462577285416,0.09049029630160052,0.09856280956012498,0.07825699909701711,0.05374008291180707,0.03436741206387004,0.052197903757166625
historicalRoleMixin,0.0364078720846307,0.05634624527622791,0.027480372666996412,0.017964106422652712,0.001718074817591994,0.08891071568800496,0.04828689851812897,0.13193037991022585,0.05960806547796042,0.00504488882516619,0.018049025384287855,0.010419479661821128,0.06604368149767134,0.017873373049914966,0.028790283776972445,0.055422583970362656,0.04271841673139622,0.07319703255208498,0.01877155506077189,0.05811925437837224,0.09813152359355062,0.024005346573960078,0.004541413545504844
kind,0.015052413359030951,1.0461684830545996,0.49376671013319706,0.40202256991792207,0.20746301027443506,0.8221482967381007,0.12230197916651986,0.05960806547796042,2.933591944254931,0.2730430703258713,0.8646488872516142,0.7507719757004592,0.12611157285645364,0.7018249840605968,0.2552492836618624,1.1507564090455502,1.3115152872162636,0.7328801693926102,0.3186652831684514,1.538508329061116,0.4607240327750515,0.4843348323625507,0.3977461148823199
mixin,0.0016660713202636193,0.2630115556512219,0.13709306424852696,0.09177075985090788,0.07527486971095937,0.17898310328867292,0.006758224666076645,0.00504488882516619,0.2730430703258713,0.6849736429321333,0.27497330214047405,0.2246556265281377,0.01813852148070315,0.16588036330499678,0.12269676363709252,0.3104566794369707,0.35010809007100496,0.2257246384641799,0.05101813730007726,0.34780289835037176,0.23300200217864203,0.1339316913716585,0.15877109559886757
mode,0.0187288019323655,0.739922490256488,0.32198083036463887,0.25935820489224237,0.13493331208758885,0.6114378207161207,0.022095265071398307,0.018049025384287855,0.8646488872516142,0.27497330214047405,1.8746307293532598,0.44718910893440106,0.10516212792744214,0.46545494847675895,0.20045781169742155,0.6977989142873567,0.7986288115285027,0.6047902705607714,0.16044962682522346,0.9788163859626776,0.5029986440126797,0.40250889102679716,0.2754785964638278
phase,0.003437160779705274,0.5465341724761519,0.317658715782708,0.21407553656662856,0.13537746661636071,0.4825673511747678,0.03316554598875953,0.010419479661821128,0.7507719757004592,0.2246556265281377,0.44718910893440106,1.4789072979687587,0.12338704411558127,0.35083096697689986,0.17227978572350539,0.6254713195935206,0.7402167975286789,0.4480758772191924,0.1572012497521792,0.8591670759523233,0.23523367388339622,0.21677554484729222,0.26094035217642414
phaseMixin,0.04786485027570503,0.1337992706340202,0.03952566785100694,0.08663165320045632,0.05145085094294026,0.08031334771890122,0.0023008371433912295,0.06604368149767134,0.12611157285645364,0.01813852148070315,0.10516212792744214,0.12338704411558127,0.32367240245546886,0.09018150308236214,0.007157731741337076,0.08400285406487643,0.09770626091927764,0.14580229821915813,0.038087228507966184,0.1326284251389872,0.12965582435549317,0.04419580314995042,0.04671136755375634
quality,0.021918661328702287,0.5573678637491433,0.15268875905423923,0.1830163401309384,0.09422672885934735,0.4422482847638231,0.04045259902287536,0.017873373049914966,0.7018249840605968,0.16588036330499678,0.46545494847675895,0.35083096697689986,0.09018150308236214,1.4671265677623957,0.0932762474913015,0.5133850885553238,0.5474884155963771,0.36038366073619776,0.2271703371560863,0.8414755570394079,0.25029401836188114,0.2610467333861517,0.10569641530873729
quantity,0.0008669442132167512,0.17817513885950592,0.15884579591909603,0.10394101647017098,0.11460545761674765,0.1835118965811804,0.09332158640513447,0.028790283776972445,0.2552492836618624,0.12269676363709252,0.20045781169742155,0.17227978572350539,0.007157731741337076,0.0932762474913015,0.4644993063217714,0.2229407362251679,0.29979296558241114,0.15261966183935105,0.11464517077743942,0.2491169833771114,0.1345371964395979,0.0431865783705281,0.12750480774370865
relator,0.011630615728126417,0.7433666068400571,0.42407206015847176,0.2765862692811921,0.1670138852407054,0.599636994897469,0.09041057847816114,0.055422583970362656,1.1507564090455502,0.3104566794369707,0.6977989142873567,0.6254713195935206,0.08400285406487643,0.5133850885553238,0.2229407362251679,2.3542147481358007,0.9514620366668549,0.6795236833268189,0.20600630939913894,1.1651507662555693,0.4354093500180387,0.3061224053219922,0.3415808081479768
role,0.009870792561519355,0.803169066762041,0.4309431816964986,0.31791440555831174,0.19240053184046935,0.6867980907906862,0.09441462577285416,0.04271841673139622,1.3115152872162636,0.35010809007100496,0.7986288115285027,0.7402167975286789,0.09770626091927764,0.5474884155963771,0.29979296558241114,0.9514620366668549,2.4919116941778126,0.6550190977653021,0.2585169073709637,1.2023675203914683,0.4597678087601217,0.4767584351238431,0.42310511816622476
roleMixin,0.04786485027570414,0.6505629650811684,0.2510737663261113,0.20142824717906985,0.13641805001644863,0.7055386686818239,0.09049029630160052,0.07319703255208498,0.7328801693926102,0.2257246384641799,0.6047902705607714,0.4480758772191924,0.14580229821915813,0.36038366073619776,0.15261966183935105,0.6795236833268189,0.6550190977653021,1.7447105032502772,0.2979694756169694,0.7338326409858698,0.5303685633023599,0.34013391917379177,0.2809749164469515
situation,0.02718706417908559,0.3171445674248487,0.05763887815987339,0.11308600792707542,0.06317767935454954,0.4980827395863598,0.09856280956012498,0.01877155506077189,0.3186652831684514,0.05101813730007726,0.16044962682522346,0.1572012497521792,0.038087228507966184,0.2271703371560863,0.11464517077743942,0.20600630939913894,0.2585169073709637,0.2979694756169694,0.7788906972790506,0.32102526044379737,0.17661498203883486,0.13097524262220311,0.19923411935628738
subkind,0.010830134252542256,1.137034918980489,0.5701587151339884,0.4316258624558326,0.211125256022477,0.8562113375964105,0.07825699909701711,0.05811925437837224,1.538508329061116,0.34780289835037176,0.9788163859626776,0.8591670759523233,0.1326284251389872,0.8414755570394079,0.2491169833771114,1.1651507662555693,1.2023675203914683,0.7338326409858698,0.32102526044379737,2.8371932878808543,0.5214265698978824,0.4924535442244915,0.4036681151086816
type,0.03640787208463075,0.5532121418431111,0.2556237609206318,0.17182002736071914,0.11386997440710361,0.5069287878242171,0.05374008291180707,0.09813152359355062,0.4607240327750515,0.23300200217864203,0.5029986440126797,0.23523367388339622,0.12965582435549317,0.25029401836188114,0.1345371964395979,0.4354093500180387,0.4597678087601217,0.5303685633023599,0.17661498203883486,0.5214265698978824,1.03560488815754,0.24368202536330885,0.1936836577940287
none,0.03208350726013107,0.38198190977123797,0.1121105282589353,0.10450920761088653,0.014478429113379848,0.42448149473070673,0.03436741206387004,0.024005346573960078,0.4843348323625507,0.1339316913716585,0.40250889102679716,0.21677554484729222,0.04419580314995042,0.2610467333861517,0.0431865783705281,0.3061224053219922,0.4767584351238431,0.34013391917379177,0.13097524262220311,0.4924535442244915,0.24368202536330885,0.9519946858793905,0.15956398490689971
other,0.0014999444727451655,0.3142307060869267,0.13666103780920172,0.1038599600492083,0.058168345744829805,0.32316794038799435,0.052197903757166625,0.004541413545504844,0.3977461148823199,0.15877109559886757,0.2754785964638278,0.26094035217642414,0.04671136755375634,0.10569641530873729,0.12750480774370865,0.3415808081479768,0.42310511816622476,0.2809749164469515,0.19923411935628738,0.4036681151086816,0.1936836577940287,0.15956398490689971,0.8518440407213168
