Construct,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
abstract,0.008264462809917356,0.0,0,0.09090909090909091,0.008264462809917356,11.0,120.99999999999999,0.0,0.0,0.0
category,4.859504132231405,2.0,0,11.207367952321936,125.6050964187328,6.402253556039979,51.986159531373595,0.0,5.0,5.0
collective,1.0909090909090908,0.0,0,4.597100535482483,21.133333333333336,9.123093522915072,92.11639723186455,0.0,1.0,1.0
datatype,0.7272727272727273,0.0,0,1.932183566158592,3.7333333333333343,3.784753044760029,17.056867503357275,0.0,0.0,0.0
enumeration,0.5371900826446281,0.0,0,2.6709590110234736,7.134022038567492,5.99199647940719,37.34138123089208,0.0,0.0,0.0
event,3.9173553719008263,0.0,0,8.996839053115178,80.9431129476584,5.729981724203562,44.980051422380136,0.0,4.0,4.0
historicalRole,0.19008264462809918,0.0,0,1.5775194113268298,2.4885674931129476,10.31259554199862,109.98088531455839,0.0,0.0,0.0
historicalRoleMixin,0.0743801652892562,0.0,0,0.5190582699498254,0.2694214876033058,7.376114620384364,54.33614742144363,0.0,0.0,0.0
kind,13.206611570247935,6.0,0,42.169482914261565,1778.265289256198,9.050961165983828,90.23195243270271,2.0,11.0,9.0
mixin,0.6942148760330579,0.0,0,3.6396954433180513,13.247382920110187,8.80804922419451,84.94993503843111,0.0,0.0,0.0
mode,4.5041322314049586,0.0,0,16.8201882505033,282.9187327823692,8.72365685016638,85.6060635266339,0.0,3.0,3.0
phase,2.743801652892562,0.0,0,10.407152128560304,108.30881542699726,9.092830727229257,92.22701615235398,0.0,2.0,2.0
phaseMixin,0.1652892561983471,0.0,0,0.7783219924728724,0.6057851239669421,6.602775489631771,51.66504653257497,0.0,0.0,0.0
quality,2.074380165289256,0.0,0,4.752482314987607,22.586088154269966,3.6615534991420313,14.76511151773152,0.0,2.0,2.0
quantity,0.36363636363636365,0.0,0,1.9578900207451222,3.8333333333333353,8.817866891702714,86.2610399425541,0.0,0.0,0.0
relator,10.413223140495868,2.0,0,69.99174587305366,4898.844490358125,10.872717954329948,119.08805791504182,1.0,5.0,4.0
role,15.363636363636363,3.0,0,98.71187027573397,9744.033333333331,10.30795358181438,109.56464706295729,0.0,7.0,7.0
roleMixin,4.768595041322314,0.0,0,20.926363090042873,437.91267217630866,9.333459403013547,95.16046618260167,0.0,2.0,2.0
situation,0.6776859504132231,0.0,0,1.8628601487723917,3.470247933884297,3.667075782140054,15.618789740526806,0.0,0.0,0.0
subkind,16.793388429752067,3.0,0,72.72848105056825,5289.431955922865,10.156714173968036,108.28042841160541,0.0,14.0,14.0
type,1.7603305785123966,0.0,0,6.594220693643324,43.48374655647384,6.616577510596517,52.647368817718736,0.0,0.0,0.0
none,3.1404958677685952,0.0,0,12.307386525391955,151.47176308539946,5.316135649676515,30.510842640870983,0.0,0.0,0.0
other,12.59504132231405,0.0,0,128.48855840841736,16509.309641873282,10.99312563300726,120.89792731297149,0.0,0.0,0.0
