Construct,Ubiquity Index
abstract,0.008264462809917356
category,0.7107438016528925
collective,0.2892561983471074
datatype,0.21487603305785125
enumeration,0.06611570247933884
event,0.4380165289256198
historicalRole,0.03305785123966942
historicalRoleMixin,0.024793388429752067
kind,0.8347107438016529
mixin,0.18181818181818182
mode,0.4793388429752066
phase,0.33884297520661155
phaseMixin,0.06611570247933884
quality,0.36363636363636365
quantity,0.09917355371900827
relator,0.7520661157024794
role,0.6942148760330579
roleMixin,0.4462809917355372
situation,0.17355371900826447
subkind,0.7272727272727273
type,0.21487603305785125
none,0.19008264462809918
other,0.1652892561983471
