Percentage,Top k Constructs,Coverage
10.0,2,0.31943190214268125
20.0,4,0.5757326984648222
30.0,6,0.7274443805927264
40.0,9,0.8584681060668253
50.0,11,0.9169197931204335
60.0,13,0.9550119037845826
70.0,16,0.9799688038748872
80.0,18,0.9920367785896068
90.0,20,0.9975371480174041
100.0,23,1.0
