Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2032,1,2032,16.68171742878253
role,1859,2,3891,31.943190214268125
kind,1598,3,5489,45.06198177489533
other,1524,4,7013,57.57326984648222
relator,1260,5,8273,67.91724817338478
category,588,6,8861,72.74443805927264
roleMixin,577,7,9438,77.48132337246531
mode,545,8,9983,81.95550447418111
event,474,9,10457,85.84681060668254
none,380,10,10837,88.9664231179706
phase,332,11,11169,91.69197931204334
quality,251,12,11420,93.75256547081521
type,213,13,11633,95.50119037845826
collective,132,14,11765,96.58484525080043
datatype,88,15,11853,97.30728183236188
mixin,84,16,11937,97.99688038748872
situation,82,17,12019,98.67005992939825
enumeration,65,18,12084,99.20367785896069
quantity,44,19,12128,99.5648961497414
historicalRole,23,20,12151,99.75371480174041
phaseMixin,20,21,12171,99.91790493391348
historicalRoleMixin,9,22,12180,99.99179049339135
abstract,1,23,12181,100.0
