Construct,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.9917355371900827,1.0
category,5.313321975444724,0.7209759937032665,0.05185917904576797
collective,3.8960747058263783,0.8821687953919359,0.15381083562901743
datatype,4.271825395561975,0.8749060856498873,0.06611570247933884
enumeration,2.5252984448060145,0.9630006357279085,0.2108875739644971
event,5.007403941985895,0.7862398437772431,0.051496377005109575
historicalRole,1.2087030023114833,0.9845490477901545,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9807162534435262,0.4074074074074074
kind,5.108035209913783,0.6918565562324807,0.09182943009174482
mixin,3.048799642657264,0.935064935064935,0.23356009070294784
mode,4.340065057033415,0.8413981348093108,0.1225654406194765
phase,4.210859664762059,0.8573633376481131,0.1261794164610248
phaseMixin,2.7016094855174675,0.9553719008264463,0.19
quality,4.806842571155217,0.8184781535016957,0.051284900239678737
quantity,2.7273179784030344,0.9541697971450037,0.2458677685950413
relator,3.2098596849573022,0.8498753771481045,0.37854749307130275
role,3.146774495972499,0.8619047830745225,0.34661060377947034
roleMixin,3.9377923015513043,0.8755460704412965,0.1661044847399896
situation,4.103489931190038,0.8855069542430961,0.07019631171921475
subkind,4.35355499367387,0.8099336239994794,0.1619888864777729
type,3.717397138671072,0.9146005509641874,0.1232780092133395
none,3.393201839574891,0.9346672466289692,0.13414127423822714
other,0.658523294798627,0.9839374417040845,0.8612471669387782
