Group,x_value,y_value,quadrant
sortal,8239,68.0909090909091,Q1
non_sortal,1271,10.50413223140496,Q1
rigid,6408,52.95867768595041,Q1
non_rigid,2889,23.87603305785124,Q1
abstracts,152,1.256198347107438,Q3
temporal,585,4.8347107438016526,Q3
other,110,0.9090909090909092,Q3
none,380,3.1404958677685952,Q3
rigid_sortal,5826,48.14876033057851,Q1
rigid_non_sortal,582,4.809917355371901,Q3
non_rigid_sortal,2200,18.181818181818183,Q1
non_rigid_non_sortal,689,5.694214876033058,Q1
undef,490,4.049586776859504,Q3
