Construct,Total Frequency,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
sortal,4687,127,0.3981191222570532,0.8487866714958344,0.6546391752577314
non_sortal,663,42,0.2896551724137931,0.12006519377037289,0.21649484536082458
rigid,3265,111,0.47844827586206895,0.5912712785222742,0.5721649484536078
non_rigid,1949,52,0.2561576354679803,0.3529518290474464,0.2680412371134019
abstracts,33,9,0.10344827586206894,0.0059760956175298,0.046391752577319395
temporal,139,16,0.1379310344827586,0.0251720391162621,0.0824742268041236
other,0,0,,0.0,0.0
none,0,0,,0.0,0.0
undef,0,0,,0.0,0.0
