Construct,Total Frequency,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
sortal,3552,457,0.4515810276679842,0.756871936927338,0.6800595238095232
non_sortal,608,131,0.28478260869565214,0.1295546558704452,0.1949404761904761
rigid,3143,404,0.5489130434782609,0.6697208608565945,0.6011904761904758
non_rigid,940,164,0.2546583850931677,0.2002983166418067,0.24404761904761882
abstracts,119,26,0.0942028985507246,0.0253569145535903,0.038690476190476004
temporal,446,65,0.17663043478260865,0.09503515874706989,0.0967261904761903
other,0,0,,0.0,0.0
none,0,0,,0.0,0.0
undef,0,0,,0.0,0.0
