Construct,Total Frequency,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
sortal,4687,127,0.3981191222570532,0.8069903581267213,0.6105769230769225
non_sortal,663,42,0.2896551724137931,0.11415289256198341,0.20192307692307682
rigid,3265,111,0.47844827586206895,0.5621556473829198,0.5336538461538457
non_rigid,1949,52,0.2561576354679803,0.3355716253443524,0.24999999999999978
abstracts,33,9,0.10344827586206894,0.0056818181818181004,0.0432692307692307
temporal,139,16,0.1379310344827586,0.0239325068870522,0.0769230769230768
other,58,7,0.2413793103448276,0.0099862258953168,0.0336538461538461
none,228,7,0.2413793103448276,0.0392561983471074,0.0336538461538461
undef,286,14,0.2413793103448276,0.0492424242424242,0.0673076923076922
