Construct,Total Frequency,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
sortal,8239,584,0.43876784372652133,0.806558981889378,0.6743648960739026
non_sortal,1271,173,0.28595041322314046,0.12442486539402808,0.1997690531177828
rigid,6408,515,0.5320247933884298,0.6273127753303962,0.5946882217090066
non_rigid,2889,216,0.2550177095631641,0.28281938325991157,0.2494226327944571
abstracts,152,35,0.09641873278236911,0.014880078316201573,0.0404157043879907
temporal,585,81,0.16735537190082642,0.0572687224669602,0.0935334872979213
other,0,0,,0.0,0.0
none,0,0,,0.0,0.0
undef,0,0,,0.0,0.0
