Stereotype,DistanceFromOrigin,Rank
kind,0.844154144266119,1
relator,0.7783758992583694,2
subkind,0.7564498175891196,3
category,0.7235606950852448,4
role,0.6797085317467451,5
mode,0.5042998783927464,6
quality,0.4604477150542466,7
event,0.4494846742196217,8
roleMixin,0.4385216333849968,9
phase,0.3617803475426224,10
collective,0.2850390617002479,11
datatype,0.2192608166924983,12
type,0.2192608166924983,12
situation,0.18637169418862357,13
none,0.17540865335399866,14
mixin,0.15348257168474883,15
other,0.131556490015499,16
phaseMixin,0.08770432667699933,17
quantity,0.07674128584237441,18
enumeration,0.054815204173124576,19
historicalRole,0.043852163338499665,20
historicalRoleMixin,0.03288912250387474,21
abstract,0.010963040834624913,22
