Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.012195121951219513,1,0.012195121951219513,0.0002161227577263886,0.001567398119122257
category,270,3.292682926829268,59,0.7195121951219512,0.05835314458612492,0.09247648902821316
collective,62,0.7560975609756098,23,0.2804878048780488,0.013399610979036093,0.03605015673981191
datatype,78,0.9512195121951219,20,0.24390243902439024,0.01685757510265831,0.03134796238244514
enumeration,38,0.4634146341463415,4,0.04878048780487805,0.008212664793602767,0.006269592476489028
event,320,3.902439024390244,37,0.45121951219512196,0.06915928247244435,0.05799373040752351
historicalRole,23,0.2804878048780488,4,0.04878048780487805,0.004970823427706938,0.006269592476489028
historicalRoleMixin,9,0.10975609756097561,3,0.036585365853658534,0.0019451048195374973,0.004702194357366771
kind,878,10.707317073170731,72,0.8780487804878049,0.1897557812837692,0.11285266457680251
mixin,16,0.1951219512195122,13,0.15853658536585366,0.0034579641236222175,0.02037617554858934
mode,247,3.0121951219512195,41,0.5,0.053382321158417984,0.06426332288401254
phase,195,2.3780487804878048,32,0.3902439024390244,0.04214393775664577,0.050156739811912224
phaseMixin,20,0.24390243902439024,8,0.0975609756097561,0.004322455154527772,0.012539184952978056
quality,238,2.902439024390244,40,0.4878048780487805,0.05143721633888049,0.06269592476489028
quantity,11,0.13414634146341464,7,0.08536585365853659,0.0023773503349902745,0.0109717868338558
relator,312,3.8048780487804876,63,0.7682926829268293,0.06743030041063323,0.0987460815047022
role,400,4.878048780487805,58,0.7073170731707317,0.08644910309055544,0.09090909090909091
roleMixin,234,2.8536585365853657,35,0.4268292682926829,0.05057272530797493,0.054858934169279
situation,62,0.7560975609756098,15,0.18292682926829268,0.013399610979036093,0.023510971786833857
subkind,964,11.75609756097561,61,0.7439024390243902,0.2083423384482386,0.09561128526645768
type,74,0.9024390243902439,18,0.21951219512195122,0.015993084071752754,0.02821316614420063
none,135,1.646341463414634,15,0.18292682926829268,0.02917657229306246,0.023510971786833857
other,40,0.4878048780487805,9,0.10975609756097561,0.008644910309055544,0.014106583072100314
