stereotype,total_correlation,rank
category,3.696551936320514,13
datatype,1.9256629415551934,21
event,4.673370826603555,7
kind,4.883073958710732,6
mode,3.5916611891102814,14
phase,2.5460516342176978,20
quality,3.9731792744134027,10
relator,3.8132207147163446,12
role,3.533339769250851,15
roleMixin,3.8468042318966744,11
situation,4.315379606602786,8
subkind,3.170781501140995,17
type,5.573156622026565,2
characterization,5.00606891909797,4
componentOf,3.023404357787353,18
derivation,2.862549601504082,19
externalDependence,4.940740782462112,5
instantiation,5.827516229926732,1
material,3.363819114937363,16
mediation,4.2440107502113,9
participation,5.538899342959646,3
