Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,type,none_c,other_c,characterization,componentOf,derivation,material,mediation,none_r,other_r
category,1.0,0.14509055051458614,0.32569829920883336,0.3525488312669209,0.36853235832580133,-0.02446608718327483,0.04217153953047407,0.30152792387310445,0.562274160459184,0.2920095874258828,-0.08675865935586573,-0.057692960843581186,0.30959607350874785,0.011432683978604703,-0.0038417170906062835,0.28945767062377475,0.30626737791287895,0.2145522159513023,0.0863718278907556
event,0.14509055051458614,1.0,-0.28655142997410527,0.20150493461570915,-0.024857110223893225,-0.4522765894692823,0.03558810826065272,0.38787794080880905,0.07798952834801867,0.3874006036514303,0.5023898166362419,0.22483228475367803,0.07870164138127764,-0.3107336896760438,-0.2139292042486834,0.12567041550081975,-0.16856747389156326,0.4647579102347511,-0.010750851018557531
kind,0.32569829920883336,-0.28655142997410527,1.0,0.06989094946553404,-0.0020191287227131352,0.12836563769631845,0.43847374930306227,-0.3676878728021839,0.4629024663872307,-0.0170719670304665,-0.10373273812938733,-0.17362390206500972,-0.17431988485217867,0.3547388089674336,0.21797455609445004,0.5124367943306237,-0.019627355677648166,0.1617335880962616,-0.046894076922241824
mode,0.3525488312669209,0.20150493461570915,0.06989094946553404,1.0,0.19932421777028472,-0.02122767272027669,0.08529895846407931,0.472407934466511,0.15237779806032026,0.1263115530789251,0.17653606552158357,-0.03896441149236679,0.33594726588421453,0.037226132968403,-0.030021773681742168,-0.0005524086965505681,0.2505802978297929,0.15081269603082928,-0.025697920199828764
phase,0.36853235832580133,-0.024857110223893225,-0.0020191287227131352,0.19932421777028472,1.0,-0.0010158928783214987,0.2852404295311773,0.25308016833182595,0.20168278778929075,0.023663543993611685,-0.03323485967503693,-0.07663876147746518,-0.04001373307580825,0.02627187663372514,0.14486330638146272,0.11795758495288639,0.11241822008166637,-0.010207262349936158,0.17012032695424278
relator,-0.02446608718327483,-0.4522765894692823,0.12836563769631845,-0.02122767272027669,-0.0010158928783214987,1.0,0.30900479500838673,0.17110975630315198,-0.17998968120765485,-0.07459295561407382,-0.4160081336726537,-0.15812710390831222,0.21427649375545071,-0.00567274149714007,0.4674020793218885,0.20408067874369498,0.5305460476656775,-0.06052731698049555,0.2516355492464197
role,0.04217153953047407,0.03558810826065272,0.43847374930306227,0.08529895846407931,0.2852404295311773,0.30900479500838673,1.0,-0.006019570602691629,-0.026972547496473175,0.1030910783276311,0.13828292737557968,-0.14127622445331794,-0.07101347773801504,-0.07672113132334338,0.22800361010294293,0.372503752302628,0.061120648337303,0.3658565617807038,0.12398707140589221
roleMixin,0.30152792387310445,0.38787794080880905,-0.3676878728021839,0.472407934466511,0.25308016833182595,0.17110975630315198,-0.006019570602691629,1.0,0.07972174411368303,0.36432979318016917,0.02489313131132714,-0.17888934367963896,0.3556429320208082,-0.32548471644481763,-0.20012267724512606,-0.1576334691399919,0.27095509055328737,0.18218208364855307,0.023863737390265514
subkind,0.562274160459184,0.07798952834801867,0.4629024663872307,0.15237779806032026,0.20168278778929075,-0.17998968120765485,-0.026972547496473175,0.07972174411368303,1.0,0.12449568217528674,-0.0012716443114078862,-0.2693745138386045,-0.07773140654211882,0.2886629627214836,-0.06693794623285937,0.3079134260433672,0.12382370185701094,0.14214260148429164,-0.2662764193158725
type,0.2920095874258828,0.3874006036514303,-0.0170719670304665,0.1263115530789251,0.023663543993611685,-0.07459295561407382,0.1030910783276311,0.36432979318016917,0.12449568217528674,1.0,0.34312138790736946,0.0388088143950601,0.011961520883056508,-0.23926064451293583,-0.1736609610767462,0.03625335975286285,-0.12791354259290516,0.39351775622004503,-0.11025963472033533
none_c,-0.08675865935586573,0.5023898166362419,-0.10373273812938733,0.17653606552158357,-0.03323485967503693,-0.4160081336726537,0.13828292737557968,0.02489313131132714,-0.0012716443114078862,0.34312138790736946,1.0,0.09579845184683149,-0.3023938606492379,-0.16496294630478578,-0.2195122550780328,0.06760638562047924,-0.2977857936303705,0.39534469784630777,-0.21161308962600933
other_c,-0.057692960843581186,0.22483228475367803,-0.17362390206500972,-0.03896441149236679,-0.07663876147746518,-0.15812710390831222,-0.14127622445331794,-0.17888934367963896,-0.2693745138386045,0.0388088143950601,0.09579845184683149,1.0,0.027597408472179622,-0.0981061530095865,0.12628298592014714,0.025557616193421034,-0.12150561602458577,0.17282091279486583,0.044541285897033746
characterization,0.30959607350874785,0.07870164138127764,-0.17431988485217867,0.33594726588421453,-0.04001373307580825,0.21427649375545071,-0.07101347773801504,0.3556429320208082,-0.07773140654211882,0.011961520883056508,-0.3023938606492379,0.027597408472179622,1.0,0.1562855350439348,0.11829590918159903,-0.16144527649729487,0.6126347538155213,-0.23115229266026502,0.40903169547695273
componentOf,0.011432683978604703,-0.3107336896760438,0.3547388089674336,0.037226132968403,0.02627187663372514,-0.00567274149714007,-0.07672113132334338,-0.32548471644481763,0.2886629627214836,-0.23926064451293583,-0.16496294630478578,-0.0981061530095865,0.1562855350439348,1.0,0.2357045734090718,0.12379035096192466,0.05021492531380956,-0.2726808948432028,-0.08090950814408547
derivation,-0.0038417170906062835,-0.2139292042486834,0.21797455609445004,-0.030021773681742168,0.14486330638146272,0.4674020793218885,0.22800361010294293,-0.20012267724512606,-0.06693794623285937,-0.1736609610767462,-0.2195122550780328,0.12628298592014714,0.11829590918159903,0.2357045734090718,1.0,0.6465571269381242,0.3753676635314237,-0.1502324393669527,0.4472667813948359
material,0.28945767062377475,0.12567041550081975,0.5124367943306237,-0.0005524086965505681,0.11795758495288639,0.20408067874369498,0.372503752302628,-0.1576334691399919,0.3079134260433672,0.03625335975286285,0.06760638562047924,0.025557616193421034,-0.16144527649729487,0.12379035096192466,0.6465571269381242,1.0,0.12541825737393433,0.2995034563398667,0.18502925593341435
mediation,0.30626737791287895,-0.16856747389156326,-0.019627355677648166,0.2505802978297929,0.11241822008166637,0.5305460476656775,0.061120648337303,0.27095509055328737,0.12382370185701094,-0.12791354259290516,-0.2977857936303705,-0.12150561602458577,0.6126347538155213,0.05021492531380956,0.3753676635314237,0.12541825737393433,1.0,-0.4100540377834457,0.3941088276124253
none_r,0.2145522159513023,0.4647579102347511,0.1617335880962616,0.15081269603082928,-0.010207262349936158,-0.06052731698049555,0.3658565617807038,0.18218208364855307,0.14214260148429164,0.39351775622004503,0.39534469784630777,0.17282091279486583,-0.23115229266026502,-0.2726808948432028,-0.1502324393669527,0.2995034563398667,-0.4100540377834457,1.0,-0.3076083287150138
other_r,0.0863718278907556,-0.010750851018557531,-0.046894076922241824,-0.025697920199828764,0.17012032695424278,0.2516355492464197,0.12398707140589221,0.023863737390265514,-0.2662764193158725,-0.11025963472033533,-0.21161308962600933,0.044541285897033746,0.40903169547695273,-0.08090950814408547,0.4472667813948359,0.18502925593341435,0.3941088276124253,-0.3076083287150138,1.0
